word,definition,translation
taac,,abbr. trialkylamife chloride 三烷基胺氯化物; triallyl isocyanurate 异氰尿酸三烯丙酯
taaffe,, [人名] 塔弗
taaffeite,,n. [矿]铍镁晶石
taagepera,, [人名] 塔格佩拉
Taal,n an official language of the Republic of South Africa; closely related to Dutch and Flemish,n. 塔尔语
taarab,," 塔拉勃乐（受阿拉伯和印度音乐影响的东非流行乐, 尤盛行于沿海地区）"
taas,n. A heap. See Tas.,abbr. three-axis attitude sensor 三轴姿态传感器
taata,,n. <东非英语>(儿语)爸爸
tab,n. a short strip of material attached to or projecting from something in order to facilitate opening or identifying or handling it,"n. 制表(键), 搭襻, 标号, 调整片, (易拉罐)拉环, 帐单, 标签, 制表符\n[计] 标签, 制表符, TAB键"
tab card punch,,[计] 标记卡片穿孔
tab character,,[计] 标志字符
tab code,,[计] 标记码
tab file,,"[计] 标记文件, 标志文件"
tab key,," （键盘上的）跳格键, 制表键, Tab键"
tab order,,[计] TAB键控制次序
tab stop,, [医]制表键停留点
tab stop position,,[计] 制表位位置
TAB vaccine,,[医] 伤寒副伤寒菌苗
tab width,,[计] 制表符宽度
tab-end,,突片端
tab-ends,plural of tab-end,(tab-end 的复数) 突片端
taba,,"abbr. The American Book Award(s) 美国书籍奖; Transportes Aereos Buenos Aires, Sociedad Anonima （西班牙语）<阿根廷>布宜诺斯艾利斯航空运输公司"
tabac,,<法>n.(法语国家中的)烟店[原义：tobacco]
tabacco,n. Tobacco.,n. (Tabacco)人名；(意)塔巴科
tabacco pipe,,n. 烟斗
tabaccosis,,"烟草中毒, 烟末沉着病, 烟尘肺"
tabacin,,烟草苷[素]
tabacine,,"烟黄色的, 浓褐色的"
tabacism,,"[医] 烟草中毒, 烟末沉着病, 烟尘肺"
tabacism pulmonum,,"[医] 肺烟末沉着病, 烟尘肺"
tabaco,, [地名] [菲律宾] 塔瓦科
tabacosis,,"[医] 烟草中毒, 烟末沉着病, 烟尘肺"
tabacosis pulmonum,,"[医] 肺烟末沉着病, 烟尘肺"
tabacum,,"(=tobacco)烟草, 烟叶"
tabagism,,[医] 烟草中毒
tabak,, [人名] 塔巴克
taballa,,片剂
taban,,abbr. Table Analysis 表格分析
tabanid,,"[昆]n.虻,虻科昆虫(如马虻、鹿虻、 牛虻等)"
Tabanidae,n horseflies,[医] 虻科
tabankin,, [人名] 塔班金
tabanus,"n. A genus of blood sucking flies, including the horseflies.",[医] 虻
Tabanus amaenus,,[医] 土灰虻
Tabanus amoenus,,[医] 三带虻
Tabanus astur Er.,,[医] 星状虻
Tabanus autumalis,,[医] 秋虻
Tabanus bivittatus,,[医] 复带虻
Tabanus bovinus,,[医] 牛虻
Tabanus budda port,,[医] 佛光虻
Tabanus ditaeniatus,,[医] 二带虻
Tabanus erberi,,[医] 埃伯虻
Tabanus fulvus,,[医] 畜虻
Tabanus griseus,,[医] 灰虻
Tabanus mandarmus Sch.,,[医] 中华虻
Tabanus misen Aust.,,[医] 卑贱黄虻
Tabanus striatus,,[医] 纹虻
Tabanus sven-hedini Kr,,[医] 斯文黑丁氏虻
Tabanus tropicus,,[医] 热带虻
tabard,n. a short sleeveless outer tunic emblazoned with a coat of arms; worn by a knight over his armor or by a herald,"n. 纹章战袍, 传令官制服, 粗布外衣"
tabarder,"n. One who wears a tabard.\nn. A scholar on the foundation of Queen's College, Oxford,\n   England, whose original dress was a tabard.",n. 塔巴德式外衣(中古时期农民穿的无袖或短袖外衣)；【历史】(古时武士穿在铠甲外的绣有纹章的)无袖外罩
tabardillo,,鼠型斑疹伤寒
tabards,plural of tabard\nn. a short sleeveless outer tunic emblazoned with a coat of arms; worn by a knight over his armor or by a herald,"(tabard 的复数) n. 纹章战袍, 传令官制服, 粗布外衣"
tabaret,"n. A stout silk having satin stripes, -- used for furniture.",n. [纺]塔巴勒绸(一种波纹和缎纹相间的装饰绸)
tabarka,, 泰拜尔盖
Tabasco,n. a Mexican state on the Gulf of Campeche\nn. very spicy sauce (trade name Tabasco) made from fully-aged red peppers\nn. very hot red peppers; usually long and thin; some very small,n. 塔巴斯科辣沙司
tabasco pepper,,[网络] 塔巴斯科辣椒；朝天椒
tabasco plant,,[网络] tabasco植物
Tabasco sauce,,[网络] 塔巴斯科辣椒酱；极辣的辣椒酱；塔巴斯科辣沙司
tabasheer,"n. A concretion in the joints of the bamboo, which consists\n   largely or chiefly of pure silica. It is highly valued in the East\n   Indies as a medicine for the cure of bilious vomitings, bloody flux,\n   piles, and various other diseases.","n. 竹黄(一种取自竹节的含硅凝结物,可用作药物)"
tabashir,,竹节石
Tabassaran,,n. & adj.(东高加索地区的东北高加索语)塔巴萨兰语(的)
tabatiere anatomique,,[医] 鼻烟窝(手指拇指基部的凹)
tabatinga,, [地名] [巴西] 塔巴廷加
Tabatrex,,驱虫特
tabaxir,,[医] [天]竹黄
tabb,,v. 记录
tabbed,past participle of tab\nn. a short strip of material attached to or projecting from something in order to facilitate opening or identifying or handling it,"(tab 的过去分词) n. 制表(键), 搭襻, 标号, 调整片, (易拉罐)拉环, 帐单, 标签, 制表符\n[计] 标签, 制表符, TAB键"
tabbied,imp. & p. p. of Tabby,n. 平纹；斑猫；长舌妇\na. 起波纹的；有斑纹的\nvt. 使起波纹
tabbies,pl.  of Tabby,"n. 平纹, 斑猫( tabby的名词复数 )"
tabbinet,"n. A fabric like poplin, with a watered surface.","n. [纺]波纹塔夫绸, 府纺"
tabbing,,[计] 标志
tabbing command,,[计] 标志命令
tabbis,,泰比斯绸
tabbouleh,n. a finely chopped salad with tomatoes and parsley and mint and scallions and bulgur wheat,n. 塔博勒色拉(一种黎巴嫩生菜)
tabby,n. a cat with a grey or tawny coat mottled with black\nn. female cat,"n. 平纹, 斑猫\nvt. 使起波纹\na. 平纹组织的, 起波纹的"
tabby cat,,n. 虎斑猫
tabby cat heart,,[医] 斑纹心
tabby cat striation,,[医] 虎斑纹
tabbying,p. pr. & vb. n. of Tabby,波纹轧光整理
tabbyite,,韧沥青
tabc,, [医][=total aerobic bacteria count]总需氧菌数
tabebuia,,(南美图皮语)蚁木
tabefaction,n. A wasting away; a gradual losing of flesh by disease.,n. 衰弱\n[医] 消瘦
tabelet(ing) machine,,[化] 造粒机
tabella,,[医] 片剂
taber,v. i. Same as Tabor.,n. 美国泰伯尔品牌
taberdar,,n. <英>牛津大学女王学院奖学金学生
tabergite,,"叶绿泥石, 钠里蛭石"
tabernacle,n. the Mormon temple\nn. (Judaism) a portable sanctuary in which the Jews carried the Ark of the Covenant on their exodus,"n. 临时房屋, 帐篷, (灵魂)暂附肉体, 礼拜堂, 神龛, 壁龛\nvt. 把...置于神龛\nvi. 暂居"
tabernacled,imp. & p. p. of Tabernacle,n. 临时房屋；帐篷；神龛\nvt. 把…置于神龛中\nvi. 暂居；暂附肉体
tabernacles,n. a major Jewish festival beginning on the eve of the 15th of Tishri and commemorating the shelter of the Israelites during their 40 years in the wilderness\nn. the Mormon temple\nn. (Judaism) a portable sanctuary in which the Jews carried the Ark of the Covenant on their exodus,n. 临时房屋( tabernacle的复数形式 ); 帐篷; 身体; 壁龛
tabernacling,p. pr. & vb. n. of Tabernacle,n. 临时房屋；帐篷；神龛\nvt. 把…置于神龛中\nvi. 暂居；暂附肉体
tabernacular,"a. Of or pertaining to a tabernacle, especially the\n   Jewish tabernacle.\na. Formed in latticework; latticed.\na. Of or pertaining to huts or booths; hence, common;\n   low.",a. 临时房屋的
Tabernaemontana,,[网络] 狗牙花属；马蹄花属；山辣椒属
Tabernaemontana divaricate,,[网络] Tabernaemontana divaricata
tabernamontanain,,[医] 山辣椒驱虫酶
tabernanthine,,[化] 马山茶碱
tabersonine,,"它波(水甘草)宁, 水甘草碱"
tabes,n. wasting of the body during a chronic disease,"n. 衰弱, 消耗\n[医] 消瘦, 脊髓痨"
tabes dorsalis,, 脊髓痨
tabes-psychosis,,[医] 脊髓痨性精神病
tabescence,,[医] 消瘦
tabescent,"a. Withering, or wasting away.","消耗性的, 摧毁性的, 疲劳的"
tabet,,n. <苏格兰>感觉
tabetic,a. Of or pertaining to tabes; of the nature of tabes;\n   affected with tabes; tabid.\nn. One affected with tabes.,a. 脊髓痨的\nn. 脊髓痨病患者
tabetic arthropathy,,"[医] 脊髓痨关节病, 夏科氏关节炎"
tabetic crises,,[医] 脊髓痨危象
tabetic cuirass,,[医] 骨髓痨性护胸甲状麻木
tabetic dementia,,[医] 脊髓痨痴呆
tabetic dissociation,,[医] 脊髓痨性感觉分离
tabetic foot,,[医] 脊髓痨足
tabetic gait,,"[医] 脊髓痨步态, 共济失调步态"
tabetic mask,,"[医] 脊髓痨性面具感, 郝秦生氏面具感"
tabetic neurosyphilis,,"[医] 脊髓痨性神经梅毒, 脊髓痨"
tabetiform,,[医] 脊髓痨样的
tabetisol,,"不冻地, (冻土间)融区"
tabi,n a sock with a separation for the big toe; worn with thong sandals by the Japanese,<日>n.(大拇趾单独分开的)日本式厚底短袜[日文汉字：足袋]
tabia,,三合土
tabic,,[医] 脊髓痨的
tabica otalgia,,[医] 脊髓痨性耳痛
tabid,a. Affected by tabes; tabetic.,"a. 衰弱的, 憔粹的"
tabification,,[医] 消瘦
tabin,, [人名] 塔宾
tabinet,n. See Tabbinet.,"n. [纺]波纹塔夫绸, 府纺"
tabis,,[网络] 塔比绸；塔布斯
TABITHA,,n. 塔比瑟(f.)
tabki,,半永久性池塘
tabla,,n. 手鼓
tablada,, [地名] [阿根廷、玻利维亚] 塔夫拉达
Tablas,,n. 塔不拉手鼓(印度手敲小鼓)；塔不拉手鼓鼓手
tablature,n. a musical notation indicating the fingering to be used,[医] 颅骨分层
tablatures,-s form of tablature\nn. a musical notation indicating the fingering to be used,(tablature 的第三人称 -s形式) [医] 颅骨分层
tabld,,[医] 消瘦的
table,n. a set of data arranged in rows and columns\nn. a piece of furniture having a smooth flat top that is usually supported by one or more vertical legs\nn. a piece of furniture with tableware for a meal laid out on it\nn. a company of people assembled at a table for a meal or game,"n. 桌子, 餐桌, 工作台, 铭文, 表格, 表, 高原, 平地层\nvt. 搁置, 嵌合, 制表, 把...列入议事日程\n[计] 表格, 模拟运算表"
table a motion,,"[法] 搁置动议, 提出动议, 将动议列入议程"
table access,,"[计] 表访问, 表存取"
table accessing mechanism,,[计] 表存取机构
table address,,[计] 表地址
table address operand,,[计] 表地址操作数
table addressing,,"[计] 表编址, 表寻址"
table adjustment,,[机] 调整表格
table analysis,,[计] 表分析
table area,,[计] 表域
table arm,,[机] 台臂
table base register,,[计] 表格基址寄存器
Table Bay,,"桌湾(南非西南部, 又译作塔布尔湾)"
table block,,[计] 表块
table calculation,,[计] 表计算
table compression,,[计] 表压缩
table constructor,,"[计] 表构造程序, 制表程序"
table d'hote, A common table for guests at a hotel; an ordinary.,"n. 客饭,公司餐"
table dancing,,"n. （酒吧或俱乐部里穿着暴露的女子在客人近旁表演的）桌前艳舞, 桌上艳舞"
table data,,[计] 表数据
table description,,[计] 表式说明
table directory,,[计] 表目录
table display,,[计] 表显示
table driven compiler,,[计] 表驱动编译程序
table driven interpreter,,[计] 表驱动解释程序
table driven parser program,,[计] 表驱动分析程序
table driven parsing,,[计] 表驱动分析
table driven program,,[计] 表驱动程序
table driven simulation,,[计] 表驱动模拟
table driven technique,,[计] 表驱动技术
table editor program,,[计] 表编辑程序
table element,,[计] 表元素
table entry,,"[计] 表入口, 表项目"
table feeder,,[化] 进料台; 平板加料器; 圆盘给料机
table file,,[计] 表文件
table for annuity,,[法] 年金计算表
table fork,,餐叉
table format,,表格格式\n[计] 表格格式
table format language,,[计] 表格式语言
table function,,"[计] 表函数, 表功能"
table game,,[网络] 桌面游戏；桌上游戏；桌面类游戏
table generation,,[计] 表生成
table gridlines,,表格虚框\n[计] 表格虚框
table handing,,[计] 表处理
table head,,[计] 表头
table index,,[计] 表索引
table indicator,,[计] 表格指示符
table knife,,餐刀
table lamp,,台灯
table language,,[计] 表语言
table lifting,,[网络] 举桌叩问；神灵；乩板
table light,,台灯
table linen,,餐布
table load record,,[计] 表装入记录
table lockup,,[电] 台固定
table look-aside buffer,,[计] 表格后援缓冲器
table look-at,,[计] 查表
table look-up,,[计] 查表
table look-up command,,[计] 查表命令
table look-up device,,[电] 查表装置
table look-up instruction,,[计] 查表指令
table look-up program,,[计] 查表程序
table look-up technique,,"[计] 查表技术, 查表方法"
table manipulation,,[计] 表处理
table manners,,"餐桌上的礼貌,用餐的规矩"
table mat,, 餐具垫；隔热桌垫
table memory,,[计] 表格存储器
table money,,就餐费
table mount,,平顶海山
Table Mountain,,"桌状山, 平顶山"
table mustard,,[网络] 桌子芥末
table napkin,, 餐巾
table of allowance,,"[经] 津贴表, 补助费表"
table of cases,,[法] 案件一览表
table of combination,,[计] 组合表
table of compound interest,,[经] 复利表
table of contents,,目录\n[计] 目录
table of errata,,[化] 勘误表
table of exponential function,,[计] 指数函数表
table of file name,,[计] 文件名表
table of freight charges,,[经] 运费表
table of heading,,[计] 标题表
table of information,,[计] 信息表
table of keyword,,[计] 关键词表
table of limit,,[经] 限额表
table of pointer,,"[计] 指示字表, 指针表"
table of precedence,,[法] 品位次序表
table of process page chain,,[计] 过程页链表
table of rates,,[经] 税率表
table of vector,,[计] 向量表
table of weight and measures,,[经] 度量衡单位表
table of word period,,[计] 字周期表
table oil,,[化] 高级食用油; 精炼食用油
table pack,,[计] 表压缩
table preprocessing,,[计] 表预处理
table press,,[化] 台式压力机
table processing,,[计] 表处理
table producing language,,[计] 表生成语言
table rapping,,[网络] 桌灵击
table reference character,,[计] 表引用字符
table register,,[计] 表寄存器
table restriction technique,,"[计] 表限制技术, 表约束技术"
table roller,,[化] 辊道
table row,,[计] 表格行
table salt,,"[化] 食盐\n[医] 食盐, 氯化钠"
table saw,, 桌上型锯床
table search,,[计] 表检索
table seek,,[计] 表查找
table segment,,[计] 表段
table segmenting,,[计] 表分段
table select,,[计] 表选择
table service,,na. 成套餐具\n[网络] 餐桌服务；餐桌式服务；桌边服务
table set,,成套餐具
table simulator,,[计] 表模拟程序
table size,,"[计] 表大小, 表尺寸, 表规格"
table soccer,,n. 波比足球（是根据其法文原名BABYFOOT音译过来的）。是一种台面的足球运动; 操作时; 通过操作者脑、眼、手的配合来完成对台面球场上操作小人的控制; 可两人或四人同时对打。它是一项起源于20世纪50年代法国
table sort,,"[计] 表排序, 表分类"
table specification,,[计] 表说明
table spoonful,,[医] 汤匙(15毫升)
table structure,,[计] 表结构
table sugar,,[化] 蔗糖
table talk,,席间漫谈
table tape,,[电] 台上接头
table tapping,,[网络] 桌上通灵；桌子；敲桌
table technique,,[计] 图表技术
table tennis,,乒乓球
table tilting,,[网络] 送料台斜角
table time,,[法] 时间表
table tipping,,[网络] 神力使桌子转动
table top,,"[计] 表上部, 台式的"
table top computer,,"[计] 台式计算机, 桌上计算机"
table top word processing,,[计] 台式字处理
table transform,,[计] 表变换
table traversal,,[计] 表遍历
table turning,,[网络] 桌灵转；旋转板
table vice,,台钳
table vinegar,,[化] 餐用醋
table wine,,n. 进餐时喝的淡酒
table write,,[计] 表写入
table zero-sided Lindenmayer system,,[计] 带产生式表的林氏无关系统
table-board,,n. 牌桌
table-boarder,,n. 桌面，台面；牌桌，赌桌
table-cloth,,n. 台布
table-cloths,plural of table-cloth,(table-cloth 的复数) n. 台布
table-cut,,a. 顶面切平的
table-driven,, 表格控制的
table-driven simulation,,[计] 表格驱动模拟
table-driven technique,,[计] 表格驱动法
table-flap,,n. 折板
table-hop,,vi. 周旋于餐桌之间
table-hopping,,v. 周旋于餐桌之间( table-hop的现在分词 )
table-lamp,,n. 台灯
table-lamps,plural of table-lamp,(table-lamp 的复数) n. 台灯
table-look-up,,[化] 一览表
table-mat,,碗垫；餐垫
table-mats,plural of table-mat,(table-mat 的复数) 碗垫；餐垫
table-mountain pine,,[网络] 辛松
table-tennis,,n. 乒乓球
table-tennis bat,,un. 乒乓球拍\n[网络] 乒乓球拍子
table-tennis racquet,,[网络] 桌球拍
table-tennis table,,[网络] 乒乓球桌；兵乓球场；乒乓球台
table-top,,[家具] 桌面
table-tops,plural of table-top,(table-top 的复数) [家具] 桌面
table-water,,"n. 饮用水,矿泉水"
tableau,n. a group of people attractively arranged (as if in a painting)\nn. any dramatic scene,"n. 生动场面, 戏剧性局面"
tableau curtain,, [戏剧](自中间向上方两角掀起的)蝴蝶式舞台幕
tableau format,,"[计] 表格结构, 表格式"
tableau vivant," Same as Tableau, n., 2.","n. (=tableaux)生动的场面,吸引人的场面"
tableaus,n. a group of people attractively arranged (as if in a painting)\nn. any dramatic scene,n. 人构成的画面或场景( tableau的复数形式 ); 舞台造型; 戏剧性的场面; 绚丽的场景
tableaux,n a group of people attractively arranged (as if in a painting)\nn any dramatic scene,"n. 舞台造型,(由活人扮演的)静态画面、场面"
tablecloth,n. a covering spread over a dining table,n. 台布
tablecloths,n. a covering spread over a dining table,"n. 桌布, 台布( tablecloth的复数形式 )"
tabled,v. hold back to a later time\nv. arrange or enter in tabular form,n. 桌子；表格；平地层\nvt. 制表；搁置；嵌合\na. 桌子的\nn. (Table)人名；(罗)塔布莱
tabledriven,,"[计] 表驱动的, 表控制的"
tabledriven algorithm,,[计] 表驱动算法
tableds,-s form of tabled,(tabled 的第三人称 -s形式) n. 桌子；表格；平地层\nvt. 制表；搁置；嵌合\na. 桌子的\nn. (Table)人名；(罗)塔布莱
tableed,imp. & p. p. of Table,"n. 桌子；台子；餐桌, 饭桌\na. 桌子的；桌上用的；食用的, 佐餐用的；适用于餐桌上的\nvt. 把…列成(一览)表, 把…制成表格；把(钱、牌等)放在桌上, 置于桌上："
tablefork,,[网络] 餐叉
tableful,,"n. 一桌人, 一桌东西"
tableing,p. pr. & vb. n. of Table,"n. 桌子；台子；餐桌, 饭桌\na. 桌子的；桌上用的；食用的, 佐餐用的；适用于餐桌上的\nvt. 把…列成(一览)表, 把…制成表格；把(钱、牌等)放在桌上, 置于桌上："
tableknoll,,"海底平顶山, 海台"
tableland,n. a relatively flat highland,n. 高地
tablelands,plural of tableland\nn. a relatively flat highland,(tableland 的复数) n. 高地
tableman,"n. A man at draughts; a piece used in playing games at\n   tables. See Table, n., 10.",在工作台边工作或照管工作台的人
tablemate,n someone you dine with,"n. 餐桌同座,同席进餐者"
tablemount,,"n. [地]海底平顶山,平顶海山"
tableness,,[网络] 表格属性；桌子性
tabler,n. One who boards.\nn. One who boards others for hire., [人名] 泰布勒; [地名] [美国] 塔布勒
tablers,plural of tabler\nn. One who boards.\nn. One who boards others for hire.,(tabler 的复数)  [人名] 泰布勒; [地名] [美国] 塔布勒
tables,n a set of data arranged in rows and columns\nn a piece of furniture having a smooth flat top that is usually supported by one or more vertical legs\nn a piece of furniture with tableware for a meal laid out on it\nn flat tableland with steep edges\nn a company of people assembled at a table for a meal or game\nn food or meals in general\nv hold back to a later time\nv arrange or enter in tabular form,n. 桌子；附录；表格（table的复数）
tables of equipment,,[化] 设备单
tablesize,,工作台尺寸
tablespace,,表空间
tablespoon,n. as much as a tablespoon will hold\nn. a spoon larger than a dessert spoon; used for serving,"n. 大汤匙\n[医] 汤匙, 大匙(15毫升)"
tablespoonful,n as much as a tablespoon will hold,"n. 一餐匙容量, 一大汤匙容量"
tablespoonfuls,pl.  of Tablespoonful,"n. 一满匙, 一大汤匙容量"
tablespoons,n. as much as a tablespoon will hold\nn. a spoon larger than a dessert spoon; used for serving,"n. 大汤匙, 大调羹( tablespoon的复数形式 ); 一大汤匙的量"
tablespread,,"涂抹食品(奶油, 果酱等)"
tablet,n. a slab of stone or wood suitable for bearing an inscription\nn. a small flat compressed cake of some substance,"n. 平板, 门牌, 笔记簿, 碑, 匾, 药片\n[化] 片剂"
tablet compression machine,,[化] 压片机
tablet machine,,[化] 压片机\n[医] 压片机
tablet press,,[化] 压片机
tablet-armed chair,,[网络] 平板电脑椅子
tableted,,[医] 成片的
tableting,,[化] 制锭
tabletmachine,,压片机
tabletop,n. the top horizontal work surface of a table,n. 桌面
