word,definition,translation
qas,,abbr. quick-acting scuttle 快速撤桶，速闭舱口盖
qasim,,n. 卡西姆（巴基斯坦港口）
Qassam Brigades,,[网络] 卡桑旅
qat,n. the leaves of the shrub Catha edulis which are chewed like tobacco or used to make tea; has the effect of a euphoric stimulant, [医][=quality assurance technical]质量保证技术
Qatar,n. an Arab country on the peninsula of Qatar; achieved independence from the United Kingdom in 1971; the economy is dominated by oil\nn. a peninsula extending northward from the Arabian mainland into the Persian Gulf,n. 卡塔尔
Qatar Peninsula,,[网络] 卡塔尔半岛
Qatari,n. a native or inhabitant of Qatar\na. of or concerning Qatar or its inhabitants,n. 卡塔尔人\na. 卡塔尔的
Qatari dirham,,[网络] 卡塔尔迪拉姆
Qatari monetary unit,,[网络] 卡塔尔货币单位
Qatari riyal,,[网络] 卡达里亚尔；卡塔尔里亚尔
qawwal,,[网络] 瓦尔；瓦力的歌手
qawwali,,n. 克瓦利（苏菲派穆斯林用于祈祷的音乐）
qazi,,n. (Qazi)人名；(阿富、巴基、伊朗)卡齐
qazwsxedcrfvtgbyhnujmikolp,"this is what happens when ur bored out of ur mind and you have allready serched qwertyuiopasdfghjklzxcvbnm. u start to get creative and type all the letters on the key bord up and down insted of left to right. qazwsxedcrfvtgbyhnujmikolp\r\nq w e r t y u i o p\r\na s d f g h j k l\r\nz x c v b n m \n> qazwsxedcrfvtgbyhnujmikolp, qwertyuiopasdfghjklzxcvbnm, qwertyuiop, asdfghjkl, zxcvbnm\n",
qazxswedcvfrtgbnhyujmkiolp,"This is the divine sentence of which bored I.T. students\r\ntap in to see what comes up in google.\n> Student 1: ""d00d! I just totally broke google when I wailed on the keyboard!""\n> Student 2: ""I win. qazxswedcvfrtgbnhyujmkiolp owns you.\n",
qb,,abbr. 定量（电生理）电池（quantitative（electrophysiological）battery）
qba,,abbr. Quebecair 魁北克航空公司; Queensland Bowling Association 昆士兰州保龄球协会
Qbasic,,n. Qbasic语言\n[计] DOS外部命令:该命令启动Quick Basic编辑程序和编译程序
QBE,,举例询问语言
qbs,,abbr. quantitative business system 商务定量分析系统; query by screen 屏幕查询
QC,,[化] 质量管理
QCB,,队列控制块
QCD,n. a theory of strong interactions between elementary particles (including the interaction that binds protons and neutrons in the nucleus); it assumes that strongly interacting particles (hadrons) are made of quarks and that gluons bind the quarks together,abbr. 质量检查处（Quality Control Division）
qcepo,,[医] 结节型皮肤利什曼病
qcm,,abbr. Quality Control Manual 质量管理手册
qcp,,abbr. quality control planning 质量控制计划; quality control procedure 质量控制规程; quality care program 质量护理项目; quantum critical point 量子临界点
QCR,,[计] 队列控制记录
QCs,,abbr. 质量控制系统（Quality Control System）
qct,,abbr. quality control technician 质量管理技术员; questionable corrective task 有疑问的的矫正作业; quiescent carrier telephony 静止的载波电话学
qcw,,n. 具有Q相位的3.58MHz连续波讯号
qcw signal,,[电] QCW讯号
qd,,abbr. 俯角（Quadrant Depression）；军需申请（Quartermaster Demand）
qdi,,abbr. 科迪亚（中国内地最大的主板供应商）
qdii,,abbr. 合格境内机构投资者（Qualified Domestic Institutional Investor）
qdm,," [计]= Quality assurance, Documentation and Maintenance,质量保证、文件编制和维护"
qdr,, 数码定量放射照相
qds,,abbr. 快速断开序列（Quick-Disconnect Series）
QDZ,,[化] 气动单元组合仪表
qe,,abbr. 量子电子学（Quantum Electronics）
qed,n a relativistic quantum theory of the electromagnetic interactions of photons and electrons and muons,abbr. quantitative evaluative device 定量可估价的装置; quantum electrodynamics 量子电动力学; quick-reaction dome 快速反应罩
qedit,,n. 由SemWare公司推出的英文编辑软件
qeeg,, [医]Quantitative EEG
QEMM,,Quarterdeck公司的增强式内存管理程序
qena,, [地名] [埃及] 基纳
qepiq,,[网络] 奎皮克；戈比
QES,,abbr. 扬声器的电品质因数值
Qeshm,,n. 克什姆岛（伊朗岛屿）；克什姆（伊朗城镇）
qf,,abbr. 速射的（Quick-Firing）
QFE,"An [acronym] for Quoted for Emphasis, it's used to help drive a point home to someone who's fairly dimwitted. Also used when someone makes an exceedingly good point, and people want to make sure that it gets across. Usually seen used in internet forums.\n> First forum poster:\n> ""Hitler was a bad, bad man.""\n> Second forum poster:\n> ""QFE.""\n",
qfi,, 合格境外机构投资者(Qualified Foreign Institutional Investor); 合格的飞行教员(Qualified Flight Instructor)
qfii,,abbr. 合格境外机构投资者（Qualified Foreign Institutional Investors）
qfs,,abbr. Queensland Fire Service 昆士兰州供暖设施; Queensland Fisheries Service 昆士兰州水产部
QFT,,量子场论（quantized field theory）\n指报价频率测试（quotation frequency test）\n定量反馈理论（quantitative feedback theory）
qgp,,abbr. quark gluon plasma 夸克胶子电浆态
qh,,abbr. （拉）每小时（quaque hora）
qi,n. the circulating life energy that in Chinese philosophy is thought to be inherent in all things; in traditional Chinese medicine the balance of negative and positive forms in the body is believed to be essential for good health,abbr. 质量指标（Quality Index）
Qi Vampire,"1) An individual whose presence in your life results in most of your interactions with them leaving you drained, spent, and feeling like your own Qi (""life force"" energy in Traditional Chinese Medicine) has been sucked right out of you; 2) A two-legged spiritual and/or emotional parasite of epic proportions; 3) That friend who always has some sort of disaster going on in their life that they can't help but impose into YOUR life each time.\n> My friend's divorce was over five years ago, but every ongoing battle with his ex, over cash and kids, gets described to me in minute detail on a daily basis. The man is a Qi vampire!\n",
qian,,n. （汉）钱
Qiana,,n. 奎阿纳(一种蚕丝感较强、耐洗、不起皱的脂环族聚酰胺纤维)[商标名]
Qiana fibre,,[化] 奎安那纤维
qiang,n. the Tibeto-Burman language spoken in Sichuan,n. [汉语]强；羌族
Qiangic,,[网络] 羌语群；羌语支
qiangshou,,戗兽
qianlong,, 乾隆
qiao,,桥（汉语拼音）
qibla,n. the direction of the Kaaba toward which Muslims turn for their daily prayers\nn. a small terrorist group of Muslims in South Africa formed in the 1980s; was inspired by Ayatollah Khomeini to create an Islamic state in South Africa," 朝向（即麦加天房克尔白所在的方向, 为穆斯林朝拜方向）"
QIC,,[计] 1/4英寸微型磁带
qid,,abbr. 一天四次quarter in die
qie,,n. 郄（姓氏）
qigong,, 气功
qin,n. the Chinese dynasty (from 246 BC to 206 BC) that established the first centralized imperial government and built much of the Great Wall,n. 秦（姓氏）
Qin dynasty,,[网络] 秦朝；秦代；秦王朝
Qin Shi Huang Ti,,[网络] 秦始皇帝
qindar,,[网络] 昆达；昆塔
qindarka,,[网络] 昆塔；昆达
qing,n. the last imperial dynasty of China (from 1644 to 1912) which was overthrown by revolutionaries; during the Qing dynasty China was ruled by the Manchu,清；青（汉语拼音）
Qing dynasty,,[网络] 清朝；清代；清史
Qingdai,,[医] 青黛属
qingdaimeisu,,[化] 庆大霉素
qingdao,,n. 青岛（中国山东省地名）
Qinghai,,"青海(位于中国西部, 长江、黄河上游)"
qinghua,, [医]清华
qingming,, 清明
Qinhuangdao,,秦皇岛(市)[河北省] ( 旧译Ch'in- huang- tao 或Chinwangtao)
qintar,n 100 qindarka equal 1 lek in Albania,n. 昆塔(阿尔巴尼亚辅币名)
qio,," [计]= Queue Input Output,队列输入输出"
qiorbiculus,,气轮
qipao,,[网络] 女士旗袍；娆洪獥；旗袍裤
Qiqihar,,n. 齐齐哈尔（黑龙江省的地级市）
qiryat,, [地名] 村、镇（希伯来语）
qis,," [计]= Quality Insurance System,质量保证制度[系统]"
QISAM,,[计] 排队索引顺序存取法
Qishm,,"格什姆岛(伊朗一岛, 在Hormuz海峡内)"
qiu,,n. 邱（中文姓氏）
qiviut,,n. <美> 北极麝牛身上的绒毛
qj,,abbr. Jet Airways 喷气机航空公司（代码）; queue jockey 候话音乐播放师
qksort,,快速排序
ql,,abbr. 查询语言（query language）
qld,,"abbr. 昆士兰州（Queensland, 澳大利亚的第二大州）"
qlg,,abbr. quick-look guide 快查指南
QLLC,,限定逻辑链路控制
qlq,,abbr. quality of life questionnaire 生活质量问卷调查表
QLS,,快速法律系统
qlt,,abbr. quilt 棉被
qm,,abbr. 质量管理（Quality Management）；军需官（quartermaster）
qmd,,abbr. quantum magnetic disk 量子磁盘; quantum molecular dynamics 量子分子动力学
qmi,,abbr. quasi-molecular ions 准分子离子; Q-wave myocardial infarction Q-波心肌梗死; Quantum Materials Inc. <美国>量子材料公司; Qualification Maintainability Inspection 可维护性检查资格
qmp,,abbr. quality management program 质量管理程序; Quarry Mine and Pit 采矿场; quality management planning 质量管理计划; qualitative management program 定性管理程序
QMS,,[化] 四极质谱仪
QMX,,[计] 快信
qn,,abbr. 问题（question）；（国际象棋中的）后翼马（queen's knight）
qnadriceps test,,[医] 四头肌试验(检甲状腺机能亢进)
qnantitative hypertrophy,,"[医] 数量性肥大, 增生"
qnantity of rediant energy,,[医] 放射能量
qnd,,abbr. quantum nondemolition (measurement) 量子非破坏性（测量）
Qnincke's sign,,[医] 昆克氏征(昆克氏毛细血管脉搏)
qnininism,,"[医] 奎宁中毒, 金鸡纳中毒"
qns,,量不足
qnx,,abbr. Quick Unix [计算机]嵌入式实时操作系统
qo,,abbr. quick outlet 快速出口
Qoeckenstedt's test,,"[医] 奎肯斯提特氏试验, 奎肯斯提特氏征(颈静脉征)"
qoh,,abbr. quantity on hand 现有数量
qol,, 社区生活质量
Qom,,库姆[伊朗西北部城市](什叶派穆斯林的圣城)
Qomul,,"哈密(中国新疆东部一城市, 亦作 Hami)"
qoph,n the 19th letter of the Hebrew alphabet,n. 希伯莱语第十九个字母
Qoran,,n. (伊斯兰教)可兰经
qos,,abbr. Quality of Service 服务质量
qot-cathode rectifier,,[电] 热阴极整流管
qot-cathode tube,,[电] 热阴极管
QOTSA,The best band in the world. Ever.\n> Do you like QOTSA?\n> Yes. They are the best band in the world. Ever.\n,
qp,,"abbr. 静等离子区（quiescent plasma）；国际象棋中的后前兵（queen's pawn）；（拉）随意（quantum placet, 等于as much as you please）"
qpa,,abbr. qualitative point average 定性的平均点; quantity per article 每篇文章的数量; quantity per assembly 每个集会的数量
qpc,, 肺毛细管血流量
qpo,, 拟周期振荡
qpos,plural of qpo,(qpo 的复数)  拟周期振荡
QPR,,abbr. 季度进度报告（Quarterly Progress Report）；女王公园巡游者足球俱乐部
qprt,, [医][=quinolinate phosphoribosyl transferase]喹啉酸磷酸核糖基转移酶
qpwoeirutyalskdjfhgzmxncbv,"What you type when you're so bored you've typed [qwertyuiopasdfghjklzxcvbnm], [mnbvcxzlkjhgfdsapoiuytrewq], [qazwsxedcrfvtgbyhnujmikolp], [plokimjunhybgtvfrcdexwzaq], `1234567890-=qwertyuiop\\asdfghjkl;'zxcvbnm,./, and everything else I searched today, and thought, ""I know! Surely ""qpwoeirutyalskdjfhgzmxncbv"" couldn't turn up any results! How creative I am!""\r\nIt is what you get when you press the next key on either edge of a QWERTY keyboard until you get to the middle and repeat for each row.\n> Ugh, I'm so bored and I've tried every QWERTY combo. Oh, wait, I'll try qpwoeirutyalskdjfhgzmxncbv!\n",
qq,,n. 中国腾讯公司开发的个人电子网络传呼软件
Qq.hor.,,[医] 每小时
qqq,,abbr. 一种美国指数交易基金（为与纳斯达克100指数的价格与收益表现普遍对应而设计的指数交易基金）
qqqqq,"Typing 'qqqqq' into Google and hitting the ""I'm feeling lucky!"" button will direct you to Urban Dictionary.\r\n\r\nOmorashi!\n> Dude! Type 'qqqqq' into Google and hit the ""I'm feeling lucky!"" button. It used to take you to this awesome website, but now it just takes you to Urban Dictionary\n",
qqv,,abbr. quae vide[拉丁语]参见;又见[参见q.v.]
QR,,"[计] 商, 二次余数"
qrb,,abbr. Quarterly Review of Biology <生物学评论季刊>（杂志）
qrf,, [医][=Quaranfil virus]卡兰非尔病毒
qrm,,[电] 人造干扰的过时称呼
qrs,,abbr. quarters 住处; 岗位; quires （复数）对折的一叠纸; （纸的）一刀（共24张或25张）
QRS complex,,[医] QRS复合波(心电图)
QRS deflection,,"[医] QRS偏转, QRS复合波"
QRST interval,,[医] Q-T间期(心电图)
qs,n the 17th letter of the Roman alphabet,abbr. 质量标准（Quality Standard）；质量规范（Quality Specification）
qsl,, 表示“承认收妥”的符号
qsl card,,[电] 业余家明信片
qsls,plural of qsl,(qsl 的复数)  表示“承认收妥”的符号
qso,,abbr. quasibiennial stratospheric oscillation 同温层双手振动
qsr,,abbr. quick-strike reconnaissance 快速攻击侦察
qss,,abbr. quasi-stellar source 类星射电源，准恒星放射源
QST,,n. [电信]发给有执照的业余无线电操作人员的通用信号
QSTOL,,"abbr.quiet short takeoff and landing (飞机的) 低噪音短距起落, 低噪音短距起落飞机"
qt,,"abbr. 夸脱（液量单位, quart）；鉴定试验（Qualification Test）"
QT tan,"A tan achieved by applying Coppertone's QT (quicktan) lotion~the results are Instant! It was popularized in the 70's!\n> I Love getting a [QT tan], it's instant & I avoid those harmful UV rays & look glowingly Fantastic!!\n",
qt.,,[医] 夸脱(四分之一加仑)
QTAM,,[计] 排队式远程通信存取法
qtd,,abbr. quartered 四分的; 提供住所的; quoted 引用的; 援引的
qtip,,abbr. Qualified Terminable Interest Property (trust) 合格的可终止的利益所有权（信任）
qtl,, [医]数量性状遗传位点
qtr,,[经] 季
qtr.,,abbr. 四分之一（quarter）
qtrly,,[经] 每季的
qts,,abbr. quarts 夸脱（英美容量单位，等于1/4加仑）; quick turn stock 换手率高的股票
qty,,abbr. 数量（quantity）
qu,,n. 合格单位
qua,conj. In so far as; in the capacity or character of; as.,prep. 作为
Quaalude,n sedative-hypnotic drug (trade name Quaalude) that is a drug of abuse,n. [药]安眠酮[商标名]
quaaludes,n. sedative-hypnotic drug (trade name Quaalude) that is a drug of abuse,n. 安眠酮
quab,"n. An unfledged bird; hence, something immature or unfinished.\nv. i. See Quob, v. i.",未成熟的东西
QUABBING A TWAB,"When your having sex with a seal and the seal poops out a baby seal, so you hit it with a shovel.  Then, you hit the mother in the head with a shovel for being such a dumb seal and continue to bone her. After your done, you poop on her.\n> when i went to the zoo, i quabbed a twab.\n",
quachamacine,,夸马辛
quack,n. an untrained person who pretends to be a physician and who dispenses medical advice\nn. the harsh sound of a duck\nv. utter quacking noises,"n. 鸭叫声, 冒牌医生, 冒充内行之人\na. 冒牌医生的\nv. 嘎嘎叫, 当冒牌医生, 夸大广告"
quack doctor,,"[法] 庸医, 江湖医生"
quack grass,, 偃麦草
quack medicine,,[医] 江湖医术
quack oneself to death,,拼命吹嘘自己
quack-quack,n. child's word for a duck,n. 嘎嘎鸭
quacked,v utter quacking noises\nv act as a medical quack or a charlatan,v. （鸭子）发出嘎嘎声( quack的过去式和过去分词 )
quackenbush,, [人名] 夸肯布什
quacker,s medically unqualified,"n. 鸭子, 发出嘎嘎声的人"
quackeries,pl.  of Quackery,"n. 庸医的医术, 骗子的行为( quackery的名词复数 )"
quackers,plural of quacker\ns medically unqualified,"(quacker 的复数) n.鸭子, 发出嘎嘎声的人"
quackery,n. medical practice and advice based on observation and experience in ignorance of scientific findings,"n. 骗人的治疗, 招摇撞骗, 骗子的行为\n[医] 江湖医术"
quackgrass,n European grass spreading rapidly by creeping rhizomes; naturalized in North America as a weed,匍匐冰草
quacking,p. pr. & vb. n. of Quack,v. （鸭子）发出嘎嘎声( quack的现在分词 )
quackings,plural of quacking\np. pr. & vb. n. of Quack,(quacking 的复数) v. （鸭子）发出嘎嘎声( quack的现在分词 )
quackish,a. Like a quack; boasting; characterized by quackery.,"a. 庸医的, 胡吹的, 骗人的"
quackishly,,"庸医地, 胡吹地"
quacks,n an untrained person who pretends to be a physician and who dispenses medical advice\nn the harsh sound of a duck\nv utter quacking noises\nv act as a medical quack or a charlatan,"abbr. quacksalvers 庸医, 骗子(16世纪习惯用水银或汞治疗梅毒的人)\nn. <英>江湖医生( quack的名词复数 ); 江湖郎中; （鸭子的）呱呱声\nv. （鸭子）发出嘎嘎声( quack的第三人称单数 )"
quacksalver,"n. One who boasts of his skill in medicines and salves,\n   or of the efficacy of his prescriptions; a charlatan; a quack; a\n   mountebank.","n. 冒牌医生, 骗子\n[法] 庸医, 骗子"
quacksalves,,[医] 江湖医
quackster,,"庸医,骗子"
quackupuncture,,n. 冒牌针刺(疗法)
quad,n. (printing) a block of type without a raised letter; used for spacing between words or sentences\nn. a rectangular area surrounded on all sides by buildings,"n. 铅块, 监狱, 四方院子, 四胞胎, 四胞胎中的一个孩子, 成套的四件东西\n[计] 四芯导线"
quad bike,,n. 四轮摩托车
quad in-line,,[电] 四行排齐封装
quad laser,"The mooninites ultimate weapon.\n> Ignignoc: Mooninites unite!\n> Err: Lock in!\n> Ignignoc: No one can defeat the quad-laser!\n> Err: It is over now!\n> Ignignoc: The bullet is enormous, there is no escaping!\n> Err: Jumping...is useless!\n",
quad pair cable,,[电] 四绞对电缆
quad word,,[电] 四倍长字
quad-in-line package,,[计] 四列直插封装
quad-speed,, [计][WIN]四速
quadah,"Quarter in a Boston accent.\n> aftah pahking cah: ""Gimme a quadah foh tha metah.""\n",
quadded,,四线的
quadded cable,,[电] 四线组电缆
quadded redundancy,,[电] 四重冗余
quadding,,[电] 线组合
quade,"a. Evil; bad; baffling; as, a quade wind.", [人名] 奎德
quader,,"[医]楔前叶, (大脑)方叶"
quadergy,,"无功能量, 千乏小时"
quadfest,"An annual spring event at Radford University involving free live bands and food where students (and some faculty) begin drinking at 12pm on thursday, drink straight through the weekend, and stop drinking at 8am monday. Some years they even have to bring in the National Guard to control the drunken insanity.\n> ""it's 10am on a friday and you're drunk already?!?""\n> ""IT'S QUADFEST!""\n",
Quadi,,[网络] 夸迪人；夸地人；奎地族
quadplex,,"a. 四倍的, 有四部分的"
quadr-,," [医]四, 平方, 二次（数学）"
quadra,"n. The plinth, or lowest member, of any pedestal, podium,\n   water table, or the like.\nn. A fillet, or listel.","正方形的框架, 浅浮雕周围的方框, 任何浮雕框架的边沿"
quadra-phase,,[计] 四相制
quadrable,"a. That may be sqyared, or reduced to an equivalent square;\n   -- said of a surface when the area limited by a curve can be exactly\n   found, and expressed in a finite number of algebraic terms.","a. 可用等积正方形表示的, 可自乘的"
quadracycline,,盐酸四环素
Quadrafos,,[商]四磷酸钠
quadragenarian,,"a. 四十多岁的\nn. 四十多岁的人, 40至49岁的人"
Quadragesima,n the first Sunday in Lent,n. 四旬节(四旬斋的第一个星期日)
quadragesimal,a. Belonging to Lent; used in Lent; Lenten.,"a. 四旬斋的, (适于)四旬斋节的; [q-]由四十组成的, (尤指四旬斋期等)延续四十天的"
quadragesimals,n. pl. Offerings formerly made to the mother church of\n   a diocese on Mid-Lent Sunday.,"a. 四旬斋的, (适于)四旬斋节的；[q-]由四十组成的, (尤指四旬斋期等)延续四十天的"
quadraline,,四声道线路
quadraminium,,n. <美>四套公寓住宅楼
quadrangle,n a four-sided polygon\nn a rectangular area surrounded on all sides by buildings,"n. 四角形, 四边形, 四方院\n[医] 四角形, 四角器(牙科)"
quadrangles,n. a four-sided polygon\nn. a rectangular area surrounded on all sides by buildings,n. 四边形( quadrangle的复数形式 ); （尤指大学的学院等的）四方院子
quadrangular,a. of or relating to or shaped like a quadrangle,"a. 像四边形的, 有四个角的\n[医] 四角形的"
quadrangular cartiIages,,"[医] 鼻隔板, 鼻中隔软骨"
quadrangular prism,, 四角柱
quadrangular space,,[医] 四角形间隙
quadrangularly,,adv. 四边形地
quadrans,,[网络] 象限仪座
Quadrans Muralis,,[网络] 象限仪座；墙四分仪座
quadrant,n. a quarter of the circumference of a circle\nn. any of the four areas into which a plane is divided by two orthogonal coordinate axes\nn. the area enclosed by two perpendicular radii of a circle,"n. 四分之一圆, 象限, 象限仪\n[医] 四分体, 象限"
quadrant electrometer,,[化] 象限静电计
quadrant machine,,[电] 闸柄终止台
quadrant multiplier,,[计] 象限法器
quadrantal,"a. Of or pertaining to a quadrant; also, included in the\n   fourth part of a circle; as, quadrantal space.\nn. A cubical vessel containing a Roman cubic foot, each\n   side being a Roman square foot; -- used as a measure.\nn. A cube.","a. 四分圆的, 象限的\n[医] 四分体的, 象限的"
quadrantal cephalalgia,,[医] 象限头痛
quadrantal error,,[电] 象限误差
quadrantally,,[网络] 四分之一
quadrantanopia,n blindness in one fourth of the visual field,n. [医]象限盲
quadrantanopsia,,[医] 象限盲
quadrantic anopsia,,[医] 象限盲
quadrantic hemianopsia,,[医] 象限偏盲
Quadrantid,,n. [天]象限仪(座)流星
Quadrantids,,[天]象限仪座流星群
quadrants,n a quarter of the circumference of a circle\nn any of the four areas into which a plane is divided by two orthogonal coordinate axes\nn the area enclosed by two perpendicular radii of a circle\nn a measuring instrument for measuring altitude of heavenly bodies,n. 象限（quadrant的复数）
quadraphonic,a of or relating to quadraphony,a. 四声道的(=quadrophonic)
quadraphonic system,, 四声道立体声系统
quadraphonics,,(=qudrasonics)四声道立体声
quadraphony,n a stereophonic sound recording or reproducing system using four separate channels,n. 四声道立体声
quadrapole,,四极子
quadras,"plural of quadra\nn. The plinth, or lowest member, of any pedestal, podium,\n   water table, or the like.\nn. A fillet, or listel.","(quadra 的复数) 正方形的框架, 浅浮雕周围的方框, 任何浮雕框架的边沿"
quadrasonic,a of or relating to quadraphony,a. 四声道的
quadrasonics,,[复]n.[用作单]=quadraphonics
quadrat,"n. A block of type metal lower than the letters, -- used in\n   spacing and in blank lines.\nn. An old instrument used for taking altitudes; -- called\n   also geometrical square, and line of shadows.","n. 铅条\n[医] 平方区, 方嵌体"
quadrate,n. a cubelike object\nn. a square-shaped object\ns. having four sides and four angles,"a. 正方形的, 长方形的\nn. 正方形, 方骨\nvt. 使适合, 使一致"
quadrate cartilages,,[医] 小翼软骨
quadrate foramina,,[医] 腔静脉孔
quadrate gyri,,[医] 楔前叶
quadrate line,,[医] 股方肌线
quadrate lobe of cerebrum,,[医] 楔前叶
quadrate lobe of liver,,[医] [肝]方叶
quadrated,imp. & p. p. of Quadrate,"vt. 使成正方形；使适合\nvi. 适合, 一致；成正方形\na. 正方形的, 方形的\nn. 正方形；方骨肌"
quadrathlon,,[网络] 四项全能
quadratic,n. a polynomial of the second degree\na. of or relating to or resembling a square\na. of or relating to the second power,a. 二次的\nn. 二次方程式
quadratic approximation,,[计] 二次近似
quadratic assignment problem,,[计] 二次分配问题
quadratic convergence,,[计] 二次收敛
quadratic crystal,,[医] 四方晶体
quadratic curve,,[计] 二次曲线
quadratic discriminator,,[计] 二次判别器
quadratic dual problem,,[计] 二次对偶问题
quadratic equation,,[计] 二次方程
quadratic field,,[计] 二次域
quadratic form,,"[计] 二次型, 二次形式"
quadratic formula,,[计] 二次公式
quadratic function,,[计] 二次函数
quadratic interpolation,,[计] 二次插值法
quadratic minimization problem,,[计] 二次极小化问题
quadratic performance index,,[计] 二次性能指标
quadratic phase mismatch,,[电] 二次相位失配
quadratic polynomial,, 二次多项式
quadratic probing,,[计] 二次探测
quadratic programming,,[计] 二次规划
quadratic residue,,[计] 二次剩余
quadratic root,,[计] 平方根
quadratic search,,"[计] 二次检索, 二次检查"
quadratic selection,,[计] 二次选择
quadratic sum,,[计] 平方和
quadratic surface,,[计] 二次曲面
quadratic variation,,[计] 二次变分
quadratic variational problems,,[计] 二次变分问题
quadratically,,平方地\n二次地
