word,definition,translation
ka,n. unknown god; an epithet of Prajapati and Brahma,[电] 千安培
ka-ching,,"哗啦（拟声词, 源于收银机的声音, 引申为赚大钱）"
Ka.,,"[医] 阴极, 负极"
kaa,,abbr. keep-alive anode 永正极
Kaaba,n. (Islam) a black stone building in Mecca that is shaped like a cube and that is the most sacred Muslim pilgrim shrine; believed to have been given by Gabriel to Abraham; Muslims turn in its direction when praying,n. 天房(麦加城中的方形石殿)
Kaapland,,= Cape Province
kaas,plural of kaa,(kaa 的复数) abbr. keep-alive anode 永正极
Kaavie,,"[气]卡维雪, 苏格兰的大 雪"
kab,,n. (=cab)出租车
kaba,, [地名] [布基纳法索、刚果共和国、几内亚、乍得] 卡巴; [地名] [塞拉里昂] 卡巴河; [地名] [匈牙利] 考包
kabaddi,," 卡巴迪（南亚运动比赛, 每队各有七人参加, 在圆形沙地上举行, 运动员需屏气追逐对手）"
kabaite,,陨地蜡
kabala,n an esoteric or occult matter resembling the Kabbalah that is traditionally secret\nn an esoteric theosophy of rabbinical origin based on the Hebrew scriptures and developed between the 7th and 18th centuries,n. (=cabala)犹太神秘哲学
kabale,, [地名] [坦桑尼亚、乌干达] 卡巴莱
kabat,, [人名] 卡巴特
Kabatschnik's tests,,[医] 卡巴施尼克氏试验(检听觉)
kabba,, [地名] [尼日利亚] 卡巴
kabbala,n. an esoteric or occult matter resembling the Kabbalah that is traditionally secret\nn. an esoteric theosophy of rabbinical origin based on the Hebrew scriptures and developed between the 7th and 18th centuries,n. 犹太神秘哲学
kabbalah,n. an esoteric theosophy of rabbinical origin based on the Hebrew scriptures and developed between the 7th and 18th centuries, 喀巴拉（犹太教神秘主义体系）
kabbalism,,[网络] 密教
kabbalist,,[网络] 卡巴拉师
kabbalistic,,[网络] 卡巴拉教派；白拉；巴拉主义
kabbani,, [地名] [印度] 格伯尼河
kaberry,, [人名] 卡伯里
kabeya,, [地名] [刚果民主共和国] 卡贝亚
kabicidin,,杀真菌素
kabir,,n. (Kabir)人名；(印、阿拉伯、阿富、孟)卡比尔；(1440-1518)迦比尔〈印〉神秘主义者、诗人。
kabira,, [地名] [日本] 川平
kable,,凯布尔（人名）
kabler,, [人名] 卡布勒
kablooey,,a. <美俚>出了毛病的
Kabner's disease,,"[医] 科布内氏病, 大疱性表皮松懈"
kabob,n. cubes of meat marinated and cooked on a skewer usually with vegetables,n. 烤肉串
kabobs,,烤肉串( kabob的名词复数 )
kabompo,, [地名] [赞比亚] 卡邦波; [地名] [赞比亚] 卡邦波河
kaboodle,,"n. (=caboodle)群, 捆"
kabuki,,n. （日本）歌舞伎
Kabul,n. the capital and largest city of Afghanistan; located in eastern Afghanistan,n. 喀布尔(阿富汗首都)
kabure,,"[医] 蚴疹, 血吸虫蚴疹"
Kabwe,,n. (Kabwe)人名；(赞、刚(金))卡布韦
Kabyle,"n. A Berber, as in Algiers or Tunis. See Berber.","n. 卡比尔, 卡比尔语"
kabylie,, 卡比利亚（地区）
kac,,"abbr. Kuwait Airways Corporation 科威特航空公司; Kameshli, Syria 叙利亚; Kawasaki Aircraft Co, Ltd. <日本>川崎航空机工业公司; key authentication center 密钥鉴别中心"
kacey,, [人名] 凯茜
Kach,,[网络] 卡驰；家中；想成为课长
kachang jijau,,[医] 赤小豆
Kachaturian,,[网络] Khachaturian
kachchan,,"[气]卡契昌风(每年6,7月间出现在斯里兰卡丘陵背风坡上的焚风类型的干热西风或西南风)"
kachin,n. Tibeto-Burman languages spoken in northernmost Burma and adjacent China and India,n. 克钦（缅甸地名）
kachina,n. a masked dancer during a Pueblo religious ceremony who is thought to embody some particular spirit\nn. a deified spirit of the Pueblo people\nn. a carved doll wearing the costume of a particular Pueblo spirit; usually presented to a child as a gift,n. 克奇纳神（霍皮印第安人崇拜的祖灵）； 扮成克奇纳神的舞蹈者
kachinas,, 克奇纳神（Kachina的复数形式）
Kachinic,,[网络] 克钦奇
kachins,plural of kachin,(kachin 的复数) n. 克钦（缅甸地名）
kaci,, [人名] 凯西，凯茜（女名）
kacie,, [人名] 凯茜
Kadai,,[网络] 咖哩小锅；仡黎语
Kadai language,,[网络] 卡代语言
kadane,, [人名] 卡登
kadar,, 人名；(阿拉伯、罗、以、尼、瑞典)卡达尔
Kaddish,,n. 犹太教祈祷文
kade,, [人名] 凯德; [地名] [加纳] 卡代; [地名] [加纳] 卡代河
kaden,, [人名] 卡登
kadena,, [地名] [日本] 嘉手纳
Kader's operation,,[医] 卡德尔氏手术(胃瓣状造口术)
kadesh,, [地名] [叙利亚] 卡叠什
kadet,, [人名] 卡德特
kadets,plural of kadet,(kadet 的复数)  [人名] 卡德特
Kadhafi,,n. (Kadhafi)人名；(阿拉伯)卡扎菲
kadi,n. Alt. of Kadiaster,n. (=cadi)下级法官
kadian,, [医]硫酸吗啡缓释胶囊剂<麻醉镇痛药>
Kadikoy,,[网络] 卡迪廓伊；卡迪科伊区；卡蒂考伊
kadir,,n. (Kadir)人名；(阿拉伯、哈萨、乌兹、吉尔、塔吉)卡迪尔
kadis,plural of kadi\nn. Alt. of Kadiaster,(kadi 的复数) n.(=cadi)下级法官
kadish,, 卡迪什
kadison,, [人名] 卡迪森
kadmoselite,,镉硒矿
kado,, [地名] [尼日利亚] 卡多; [地名] [缅甸] 格多; [地名] [朝鲜] 椴岛
kadoorie,, [人名] 卡杜里
Kadsura,,南五味子属
Kadsura japonica L.,,[医] 南五味子
Kadsura Kaempf. ex Juss.,,[医] 南五味子属
Kadsura sinensis,,[医] 南五味子
kadu,, [地名] [缅甸] 格杜
Kaduna,,卡杜纳[尼日利亚中北部城市]
kady,,n. (Kady)人名；(阿拉伯)卡迪
kadya,,刺梧桐树胶
kae,,abbr. Kake; Alaska 美国; 阿拉斯加州; 凯克机场（代码）
kaelin,, [人名] 凯林
kaelyn,, [人名] 凯琳
Kaempferia,,山柰属
Kaempferia galanga L.,,[医] 山柰
Kaempferia L.,,[医] 山柰属
Kaempferia pundurata,,"[医] 蓬莪茂, 蓬莪"
kaempferide,,莰非素
kaempferitrin,,[化] 山柰苷
kaempferol,,"[化] 山柰酚; 3,; 4'5,7-四羟黄酮醇\n[医] 山柰酚, 四羟基黄酮"
kaersutite,,[矿]羟钛角闪石
Kaes's feltwork,,[医] 卡斯氏神经纤维网
Kaes's layer,,[医] 卡斯氏层
Kaes-Bechterew layer,,[医] 卡-别二氏层(大脑皮层第三层内的纤维带)
Kaes-Bechterew's layer,,"[医] 卡-别二氏层, 别赫捷列夫氏层(大脑皮质第三层内的纤维带)"
Kaesong,,开城
kaf,,n. 希伯莱语的第十一个字母(相当于英语的k)
kaffa,,n. 卡法（埃塞俄比亚地名）
kaffee hag,,[医] 去硷咖啡(一种除去大部分咖啡因及蜡的咖啡制剂)
kaffeeklatsch,,n. 咖啡座谈会
kaffir,n. an offensive and insulting term for any Black African,n. <南非><忌><蔑>非洲黑人
kaffir boom,,[网络] 哈菲峰繁荣
kaffir bread,,[网络] 咖啡面包
kaffir cat,,[网络] 哈菲猫
kaffir corn,, 南非高粱
Kaffir lime,,卡菲尔酸橙
Kaffir pox,,[网络] 卡菲尔痘
kaffirs,plural of kaffir\nn. an offensive and insulting term for any Black African,(kaffir 的复数) n. <南非><忌><蔑>非洲黑人
kaffiyeh,n. an Arab headdress consisting of a square piece of cloth folded into a triangle and fastened over the crown by an agal,n. (沙漠地带阿拉伯人戴的)头巾
kafir,n. a member of the Kafir people in northeastern Afghanistan,[医] 卡菲尔高粱
kafir corn,, 高粱
Kafiri,n a Dardic language spoken by the Kafir in northeastern Afghanistan,n. 卡菲尔语(阿富汗东北部卡菲尔人的语言)
kafirin,,高梁醇溶蛋白
Kafiristan,,n. 卡菲烈斯坦(阿富汗 Nuristan 的旧称)
kafiroic acid,,[化] 高粱酸
kafka,n. Czech novelist who wrote in German about a nightmarish world of isolated and troubled individuals (1883-1924),n. 卡夫卡（奥地利小说家）
Kafka's reaction,,[医] 卡夫卡氏反应(检脑脊髓梅毒)
Kafka's test,,[医] 卡夫卡氏试验(检脑脊髓梅毒)
Kafka's tests,,"[医] 卡夫卡氏试验, 染色正洋乳香反应试验(检脑脊髓梅毒)"
Kafkaesque,a. relating to or in the manner of Franz Kafka or his writings\ns. characterized by surreal distortion and a sense of impending danger,a. 卡夫卡式；受压抑和恶梦般的
Kafocin,,n. 先锋霉素
kafr,, [地名] 村（阿拉伯语）
kaftan,n a woman's dress style that imitates the caftan cloaks worn by men in the Near East\nn a (cotton or silk) cloak with full sleeves and sash reaching down to the ankles; worn by men in the Levant,n. (=caftan)土耳其式长衫
kaftans,plural of kaftan\nn a woman's dress style that imitates the caftan cloaks worn by men in the Near East\nn a (cotton or silk) cloak with full sleeves and sash reaching down to the ankles; worn by men in the Levant,(kaftan 的复数) n.(=caftan)土耳其式长衫
Kafue,,n. 喀辅埃河（位于非洲）
kaga,,n. (Kaga)人名；(日)可贺 (名)\n加贺绸
kagan,,n. (Kagan)人名；(英)卡根；(俄、芬、瑞典、法)卡甘
kagawa,,香川县（地名）（日本）
kage,n. A chantry chapel inclosed with lattice or screen work.,n. [冒险岛]魔灵; [人名] 凯奇
kagemusha,, [电影]影子武士
kagen,, [人名] 卡根
Kagera,,n. 喀格拉河
kagi,, [电影]键
kagle,, [人名] 卡格尔
kago,,n. <日>日本轿子
Kagoshima,,鹿儿岛[日本九州岛南岸港市]
kagoul,, = cagoule
kagouls,plural of kagoul,(kagoul 的复数)  = cagoule
kagu,"n. A singular, crested, grallatorial bird (Rhinochetos jubatus),\n   native of New Caledonia. It is gray above, paler beneath, and the\n   feathers of the wings and tail are handsomely barred with brown, black,\n   and gray. It is allied to the sun bittern.", 鹭鹤
kah,,abbr. Kahului Railroad 卡富鲁伊铁路; kiloampere-hour 千安培-小时，千安时
kahan,, [人名] 卡亨
kahana,, [地名] [美国] 卡哈纳
kahane,, [人名] 卡亨
Kahane Chai,,[网络] 保卫犹太人联盟；保卫犹太人聯盟
kahikatea,, 白松
kahl,, [地名] [德国] 卡尔河
Kahlbaum's disease,,[医] 紧张症
kahle,, [人名] 卡尔
Kahle's solution,,[化] 卡耳溶液(一种固定剂)
kahlenberg,, [地名] [奥地利] 卡伦山
kahler,, [人名] 卡勒
Kahler's disease,,"[医] 卡勒氏病, 多发性骨髓瘤"
Kahler's law,,[医] 卡勒氏定律(脊神经升支定律)
Kahlil Gibran,,[网络] 纪伯伦；卡里·纪伯伦；纪伯仑
KAHLO,,n. (Kahlo)人名；(德、芬、西)卡洛
kahlua,,n. 卡噜哇酒：一种墨西哥产咖啡利口酒
kahn,n. United States architect (born in Estonia) (1901-1974),n. [医]康氏试验（梅毒絮状沉淀反应试验）；卡恩（姓氏）
Kahn tests,,[医] 康氏试验(检梅毒)
Kahn's albumin A reaction,,[医] 康氏白蛋白A反应(试验)(检癌)
Kahn's albumin A tests,,[医] 康氏白蛋白A试验(检癌)
Kahn's test,,[医] 康氏试验(检梅毒)
Kahn-Falta's sign,,[医] 康-法二氏征(见于潜在性手足抽搐搦)
Kahneman,,n. (Kahneman)人名；(英)卡内曼
Kahoolawe,n. an island of south-central Hawaii,n. 卡霍奥拉维岛（在夏威夷）
Kahoolawe Island,,[网络] 卡胡拉威岛
kahuku,, [地名] [美国] 卡胡库
kahului,, [地名] [美国] 卡胡卢伊
kahuna,,n. （夏威夷）卡胡纳（传说人物）
kahweol,,咖啡豆醇
kai,,n. 卡伊（姓氏）
kai apple,,[网络] 开苹果
kaia,, [地名] [苏丹] 卡亚
kaiak,,n. 爱斯基摩人用的皮船
kaibab,, [地名] [美国] 凯巴布
Kaieteur Falls,,凯厄图尔瀑布(圭亚那瀑布)
kaif,,[医] 梦样舒畅(如用麻醉品后)
kaifeng,,n. <汉>开封（中国河南城市）
kaifu,, [地名] [日本] 海部
kail,n a hardy cabbage with coarse curly leaves that do not form a head\nn coarse curly-leafed cabbage,"n. 甘蓝类蔬菜(汤), 钱"
kaila,, [人名] 凯拉
kailash,,凯拉什（人名）
kailee,, [人名] 凯莉
kailey,, [人名] 凯莉
kailikrein,,血管舒缓素
kailua,, [地名] [美国] 凯卢阿
kailyard,,n. (=kaleyard)菜园
kailyn,, [人名] 凯琳
kaim,, [人名] 凯姆
kain,"n. Poultry, etc., required by the lease to be paid in kind by a\n   tenant to his landlord.","n. 实物租税,实物地租"
kaine,, [人名] 凯恩
kainen,, [人名] 凯南
kainic acid,,[化] 海人草酸; 红藻氨酸\n[医] 海人酸
kainin,,海人草酸
kainit,n. Salts of potassium used in the manufacture of fertilizers.,n. 【矿物】钾盐镁钒
kainite,n a white mineral consisting of magnesium sulphate and potassium chloride; a source of potassium salts; used as a fertilizer,n. [矿] 钾盐镁矾
kainogenesis,n introduction during embryonic development of characters or structure not present in the earlier evolutionary history of the strain or species (such as the addition of the placenta in mammalian evolution),n. [生物]新性发生
kainolithe,,新喷出岩
kainosite,,钙钇铈矿
kainotype,,新相
kainozoic,a. See Cenozoic., 新生代
kainozoic era,,"n. [地质]新生代, 新生界\na. 新生代的, 新生界的"
kaira,, [地名] [印度] 盖拉（凯达的旧名）
kairine,"n. A pale buff or white crystalline alkaloid derived from\n   quinoline, and used as an antipyretic in medicine.",克灵(解热碱)
kairo,,凯罗
kairolin,,[医] 甲基四氢化喹啉
kairoline,"n. An organic base obtained from quinoline. It is used as a\n   febrifuge, and resembles kairine.",N-甲基四氢化喹啉
kairomone,, 利他素
kairos,plural of kairo,(kairo 的复数) 凯罗
Kairouan,,凯万[突尼斯东北部城市](伊斯兰教圣地)
kaiser,n. the title of the Holy Roman Emperors or the emperors of Austria or of Germany until 1918,n. 皇帝
Kaiser Bill,,[网络] 凯撒比尔
kaiser roll,, 蔷薇花状小面包（有折角的小圆面包）
Kaiser Wilhelm,,[网络] 威廉姆大帝；德皇威廉；威廉二世
Kaiser's nuclei,,[医] 凯塞氏核
kaiserdom,,"n. 皇帝的地位, 政权, 皇帝的辖区"
kaiserin,,n. 皇后
kaiserism,,n. 独裁专制统治
kaiserling,,"[医] 凯泽林(凯泽林氏溶液,用凯泽林氏溶液保存的标本)"
Kaiserling solution,,[化] 开氏保存组织液\n[医] 凯泽林氏溶液(固定标本用)
Kaiserling's fixative,,[医] 凯泽林氏固定液
Kaiserling's Fluid,,[医] 凯泽林氏(固定)液
Kaiserling's method,,[医] 凯泽林氏[保色]法
Kaiserling's solution,,[医] 凯泽林氏溶液(固定标本用)
kaisers,plural of kaiser\nn. the title of the Holy Roman Emperors or the emperors of Austria or of Germany until 1918,(kaiser 的复数) n. 皇帝
kaiserslautern,,凯撒斯劳滕(联邦德国西部一城市)
Kaiserstuhl disease,,[医] 凯泽斯杜[地方]砷中毒
kaiserzinn,,锡基合金
kaishu,,[中]楷书
kaitlin,,凯特林(女子名)
kaitlyn,, [人名] 凯特琳
kaito,,n. (Kaito)人名；(印)凯托
kaitz,, [人名] 凯茨
kaizen,,"n. <日>改善, 不断改进提高（日本企业哲学）"
kaj,,n. (Kaj)人名；(芬、丹、匈、瑞典)卡伊
kaja,,"n. (Kaja)人名；(日)冠者 (姓)；(塞、德、波)卡娅(女名), 卡亚"
kajal,," （南亚女子用的）黑色眼影, 灯黑"
kajiado,, [地名] [肯尼亚] 卡贾多
kajima,, 鹿岛建设公司总部所在地：日本主要业务：工程建筑
kak,,n. (Kak)人名；(伊朗)卡克；(东南亚国家华语)角
kaka,"n. A New Zealand parrot of the genus Nestor, especially the\n   brown parrot (Nestor meridionalis).",n. 橄榄色鹦鹉（产于新西兰）
kakamega,, [地名] [肯尼亚] 卡卡梅加
kakapo,"n. A singular nocturnal parrot (Strigops habroptilus), native\n   of New Zealand. It lives in holes during the day, but is active at\n   night. It resembles an owl in its colors and general appearance. It has\n   large wings, but can fly only a short distance. Called also owl parrot,\n   night parrot, and night kaka.",n. 一种鹦鹉
kakapos,,n. 鸮鹉（新西兰的一种鹦鹉）( kakapo的名词复数 )
kakas,,（一种产于新西兰的）橄榄色鹦鹉( kaka的名词复数 )
Kakatoe,,[网络] 凤头鹦鹉
Kakatoe leadbeateri,,[网络] K e
kakatrophy,,[医] 营养不良
kake,, [人名] 凯克; [地名] [日本] 加计
kakemono,n a Japanese (paper or silk) wall hanging; usually narrow with a picture or writing on it and a roller at the bottom,"<日>n.(挂在壁上的)字轴,画轴,长轴"
kakergasia,,"[医] 部分精神障碍, 单纯精神障碍, 机能不良"
kakergastic,,"[医] 部分精神障碍的, 单纯精神障碍的, 机能不良的"
kakesthesia,,[医] 感觉异常
kaki,n small deciduous Asiatic tree bearing large red or orange edible astringent fruit\nn blackish stilt of New Zealand sometimes considered a color phase of the white-headed stilt,"n. 亚洲柿树, 柿子"
kakidrosis,,[医]臭汗(症)
kakiemon,, 柿右卫门瓷器
Kakinada,,卡基纳达[印度东部港市]
kakis,,kakistocracy (government by the worst men) 恶人政府（由最糟的男人执政的政府）
kakistocracy,n. Government by the worst men.,n. 恶人政治
kakke,,[医] 脚气[病]
kakke disease,,[网络] 卡克科病
kako,,n. (Kako)人名；(捷)卡科
kako-,,"[医] 恶, 有病"
kakodyl,,二甲胂基
kakogenic,,不育
kakogeusia,,"[医] 劣味, 恶味"
kakon,,劣性反应
kakorrhaphiophobia,,[心理]失败恐怖
kakosmia,,"[医] 恶臭, 恶臭幻觉"
kakostomia,,[医] 口臭
kakotopia,,"n. 坎坷邦(""乌托邦""之对, 指充满丑恶与不幸之地, 亦作cacotopia)"
kakotrophy,,营养不良
kakovatos,, [地名] [希腊] 卡科瓦托斯
kakoxene,n. See Cacoxene.,磷铁矿
kaktovik,, [地名] [美国] 卡克托维克
kaku,,n. (Kaku)人名；(葡)卡库
kaku-shibu,,[化] 生柿汁; 涩; 柿浆; 柿漆
kakuma,, [地名] [肯尼亚] 卡库马
kal,,n. 粗铁
kala,,n. 卡拉（女子名）
kala azar,, 黑热病
kala-azar,n leishmaniasis of the viscera,"[医] 黑热病, 内脏利什曼病"
Kalaallit Nunaat,,[网络] 格陵兰；格陵兰岛
kalaazar,,[医]黑热病
kaladana,,[医] 牵牛子
kalafungin,,卡拉真菌素
kalagua,,"[医] 卡卡瓜(南美产,治肺结核的药物)"
Kalahari,n. a desert in southwestern Africa - largely Botswana,n. 喀拉哈里沙漠(南部非洲沙漠高原)
Kalahari Desert,,喀拉哈里沙漠（位于非洲南部）
kalaheo,, [地名] [美国] 卡拉黑奥
kalaite,,含铜绿松石
kalala,, [地名] [刚果民主共和国、津巴布韦] 卡拉拉
kalama,, [地名] [肯尼亚、美国] 卡拉马
kalamata,, [地名] [希腊] 卡拉马塔
Kalamazoo,n. a town in southwest Michigan,卡拉马祖
kalamein,,外包金属(的东西)
kalameined,,涂防腐合金层的木材
kalamycin,,卡拉霉素
kalan,n. The sea otter., [地名] [土耳其] 卡兰
Kalanchoe,,n. [植] 高凉菜属
kalansuwa,,[网络] 卡兰苏瓦
kalantas,,[网络] 南美洋椿；红楝仔；红栋仔
kalapana,, [地名] [美国] 卡拉帕纳
Kalapooia,,[网络] 卡拉波伊亚
Kalapooian,,[网络] 卡拉普派
Kalapuya,,[网络] 卡拉普耶人
Kalapuyan,,[网络] 卡拉普扬
kalaris,, [人名] 卡拉里斯
Kalashnikov,n. a type of submachine gun made in Russia,n. 卡拉什尼科夫冲锋枪\nn. (Kalashnikov)人名；(俄)卡拉什尼科夫
Kalashnikov culture,,[网络] 卡拉什尼科夫文化
Kalat,,n. 卡拉特（巴基斯坦城市）
kalaw,, [地名] [缅甸] 格劳
kalaw tree oil,,[医] 大风子油
Kalb,,n. (Kalb)人名；(英、德、葡、西、瑞典)卡尔布
Kalchoids,,铜锡锌三元合金
kaldi,,n. 卡尔迪（人名）
Kaldor,,n. (Kaldor)人名；(英、罗)卡尔多
kale,n. a hardy cabbage with coarse curly leaves that do not form a head\nn. coarse curly-leafed cabbage,"n. 无头甘蓝类, 甘蓝菜, 蔬菜\n[医] 羽衣甘蓝"
kaleb,,n. (Kaleb)人名；(英、塞)卡莱布
kaled,past tense of kale\nn. a hardy cabbage with coarse curly leaves that do not form a head\nn. coarse curly-leafed cabbage,"(kale 的过去时) n. 无头甘蓝类, 甘蓝菜, 蔬菜\n[医] 羽衣甘蓝"
kaleidophon, Alt. of Kaleidophone," [医]光普仪, 示振仪"
kaleidophone," An instrument invented by Professor Wheatstone,\n   consisting of a reflecting knob at the end of a vibrating rod or thin\n   plate, for making visible, in the motion of a point of light reflected\n   from the knob, the paths or curves corresponding with the musical notes\n   produced by the vibrations.",n. 发音体振动显像仪
kaleidoscope,n. a complex pattern of constantly changing colors and shapes\nn. an optical toy in a tube; it produces symmetrical patterns as bits of colored glass are reflected by mirrors,n. 万花筒
kaleidoscoped,past tense of kaleidoscope\nn. a complex pattern of constantly changing colors and shapes\nn. an optical toy in a tube; it produces symmetrical patterns as bits of colored glass are reflected by mirrors,(kaleidoscope 的过去时) n. 万花筒
kaleidoscopes,n. a complex pattern of constantly changing colors and shapes\nn. an optical toy in a tube; it produces symmetrical patterns as bits of colored glass are reflected by mirrors,"n. 万花筒( kaleidoscope的复数形式 ); 千变万化, 瞬息万变"
kaleidoscopic,s. continually shifting or rapidly changing,"a. 万花筒似的, 千变万化的"
kaleidoscopic packaging,,"[经] 花哨的包装, 万花筒式的包装"
kaleidoscopical,s continually shifting or rapidly changing,"a. 万花筒似的, 千变万化的"
kaleidoscopically,,"adv. kaleidoscopic, kaleidoscopical的变形"
kalema,,几内亚大激浪
kalemia,, 血钾过多
kalenda,, [地名] [赞比亚] 卡伦达山; [地名] [赞比亚] 卡伦达河
kalendar,n. See Calendar.,"时间表,日历"
kalender,n. See 3d Calender.,n. (Kalender)人名；(塞)卡伦德尔
kalends,n. Same as Calends.,n. 初一
kalenjin,, 卡伦津人
kaler,, [人名] 卡勒
kaleta,, [人名] 卡莱塔
Kalevala,,n. 凯莱维拉(芬兰民族史诗)
kaley,, [人名] [英格兰人姓氏] 凯利 Cayley的变体
kaleyard,,n. 菜园
Kaleyard school,,= kailyard school
kalfax,,卡尔发克斯感光乳剂
kalfou,, [地名] [喀麦隆、尼日尔] 卡尔富
Kalgan,,n. (Kalgan)人名；(俄)卡尔甘
kalgoorlie,, [地名] [澳大利亚] 卡尔古利
kali,n. wife of Siva and malevolent form of Devi,[医] 钾
kali ammonsalpeter,,[化] 氯化钾硝酸铵混合肥料
kali arsenicosum,,[医] 亚砷酸钾
kali salt,,[化] 钾盐
kalia,,氧化钾
kalian,n an oriental tobacco pipe with a long flexible tube connected to a container where the smoke is cooled by passing through water,n. 波斯水烟筒
kaliborite,,[矿]硼钾镁石
kalicinite,,[矿]重碳钾石
kalicrete,,含铁波特兰水泥
Kalidasa,,迦梨陀娑(第5世纪的印度戏剧家及诗人)
kalie,, [人名] 凯莉
kaliemia,,[医] 高钾血[症]
kalif,n the civil and religious leader of a Muslim state considered to be a representative of Allah on earth,"n. 哈里发(伊斯兰教执掌政教大权的领袖的称号), 某些穆斯林国家对官员等的尊称"
kalifate,,n. 伊斯兰教国王的职权或其领域
kalifornia,, [电影]加州杀手
kaligenous,"a. Forming alkalies with oxygen, as some metals.",[医] 产生[碳酸]钾的
kalii,,[医] 钾
kalil,, [人名] 卡利尔
kalimagnesia,,含水硫酸钾镁
Kalimantan,n the part of Indonesia on the southern side of the island of Borneo\nn 3rd largest island in the world; in the western Pacific to the north of Java; largely covered by dense jungle and rain forest; part of the Malay Archipelago,n. 加里曼丹(旧为婆罗洲)
kalimba,,n. 克林巴琴(非洲班图人的乐器)
kalimeter,,"碳酸定量器, 施罗特碳酸定量器"
"kalimeter,Schrolter's apparatus",,[化] 碱量计; 碳酸定量计; 施罗特碳酸定量器
kalimetry,,碱定量法
Kalimpong,,噶伦堡[印度东北部边境城镇]
kalina,,"n. (Kalina)人名；(塞、俄、匈、捷)卡利娜(女名), 卡利纳"
kalinga,,卡林阿省（位于菲律宾吕宋岛）
Kalinin,n soviet statesman and head of state of the USSR (1875-1946),加里宁[苏联西部伏尔加河上游城市](旧称特维尔)
KALININGRAD,,加里宁格勒
kalinite,,纤维钾明矾
kalinka,,n. (Kalinka)人名；(塞、捷)卡琳卡
kalinor,,碳酸钾氯化钾混合物
kalio-natrimn tartaricum,,[医] 酒石酸钾钠
kaliophilite,,钾霞石
kaliophylite,,[化] 钾霞石
kaliph,n the civil and religious leader of a Muslim state considered to be a representative of Allah on earth,"n. 哈里发(伊斯兰教执掌政教大权的领袖的称号), 某些穆斯林国家对官员等的尊称"
kalis,, [地名] [索马里] 卡利斯
kalisaltpeter,,钾硝石
kalischer,, [人名] 卡利舍
Kalischer's disease,,"[医] 卡利歇氏病, 痣性精神错乱"
kalish,, [人名] 卡利什
kalistrontite,,n. [矿]硫酸锶钾
Kalisz,,n. 卡利什（波兰一城市）
