word,definition,translation
G. G. G.,,[医] 滕黄
G. I.,,"[医] 胃肠的, 珠蛋白胰岛素"
G. K. Chesterton,,n. G·K·切斯特顿
G. L. A.,,[医] 龈舌轴的
G. M. C.,,[医] 全国医学总会(英国)
G. P.,,"[医] 麻痹性痴呆, 开业医生"
G. P. I.,,[医] 麻痹性痴呆
G. R. Kirchhoff,,[网络] 基里霍夫
G. S. W.,,[医] 枪弹伤
G. Stanley Hall,,[网络] 霍尔；斯坦利·霍尔
g. u.,,[医] 泌尿生殖的
g.-cal.,,[医] 克卡(小卡)
G.G.G. material,,[计] 钆镓石榴石型铁氧体材料
G.I.,,abbr. 军用品（Government Issue）
G.M.counter,,[化] 盖革-米勒计数器
g/a,,[电] 地对空
g/cc,, [医]grams per cubic centimeter 克/厘米？
g/cm,, [医][=gram per centimeter]克/厘米
g/g,,[电] 地对地
g/l,, [医]grams per liter 克/升
G/R/,,[化] 保证试剂; 优级纯
g/t,, [医][=granulation time]肉芽形成时间
G11,,[医] 六氯[双]酚
G13871,,"[医] 苯丁唑酮, 保泰松(退热止痛药)"
g20,,abbr. 20国集团（Group20）
G4,,"[医] 二氯芬(2,2-二羟-5,5'-二氯联苯甲烷)"
G469,,[医] β-吡啶醛缩氨硫脲
G6,"G6 / G650.\n\nSlang for the Gulfstream G650, a twin-engine jet airplane manufactured by Gulfstream Aerospace.\n\nThe estimated pricetag exceeds $58 million USD, and will be assembled in Gulfstream's new manufacturing facility in Savannah, Georgia. Gulfstream begins taking orders for the aircraft in April, 2010, with delivery beginning in 2012.\n> Example usage:\n> ""I’m feelin' so fly like a G6"".\n",
g7,,abbr. 七国集团（Group of Seven）
g8,,abbr. 八国集团（Group of Eight）
Ga,"n the first known nerve agent, synthesized by German chemists in 1936; a highly toxic combustible liquid that is soluble in organic solvents and is used as a nerve gas in chemical warfare\nn a rare silvery (usually trivalent) metallic element; brittle at low temperatures but liquid above room temperature; occurs in trace amounts in bauxite and zinc ores\nn a state in southeastern United States; one of the Confederate states during the American Civil War",[医] 镓(31号元素)
ga agent,,[机] GA毒剂
ga clause,,[经] 共同海损
ga coil,,[电] GA线圈
gaa,,abbr. ground-aided acquisition 地面辅助接收
gaaduhiston,,[医] 鳕组蛋白
gaalkacyo,, [地名] [索马里] 加勒卡约
gaanosine,,"[医] 鸟甙, 鸟嘌呤核甙"
gaap,n a collection of rules and procedures and conventions that define accepted accounting practice; includes broad guidelines as well as detailed procedures,abbr. 一般公认会计原则（Generally Accepted Accounting Principles）
gaas,plural of gaa,(gaa 的复数) abbr. ground-aided acquisition 地面辅助接收
gab,n light informal conversation for social occasions\nv talk profusely,"n. 空谈, 爱说话, 多嘴\nvi. 空谈, 瞎扯, 唠叨"
gab session,,"非正式谈话, 长时间的会议"
GABA,n an amino acid that is found in the central nervous system; acts as an inhibitory neurotransmitter,[化] γ-氨基丁酸
gabapentin,, [医]加巴喷丁（抗焦虑药）
Gabar,,n. 伽巴尔(对伊朗琐罗亚斯德教徒的称呼)
gabarage,n. A kind of coarse cloth for packing goods., <爱>打包用粗布
gabardeen,,n. 华达呢
gabardine,n. a firm durable fabric with a twill weave,"n. 华达呢, 粗布"
gabardines,n. a firm durable fabric with a twill weave\nn. (usually in the plural) trousers made of flannel or gabardine or tweed or white cloth\nn. a loose coverall (coat or frock) reaching down to the ankles,"n. 一种斜纹防水布料, 一种宽松的长袍, 华达呢( gabardine的复数形式 )"
gabarite,,限界
Gabastou's hydraulic method,,[医] 加巴斯土氏胎盘剥离法
gabba,,"abbr. Wollongabba, Brisbane 加巴，澳大利亚布里斯班沃隆加巴的简称"
gabbard,,苏格兰昔时的帆船
gabbed,,"v. 空谈, 唠叨, 瞎扯( gab的过去式和过去分词 )"
gabber,n. A liar; a deceiver.\nn. One addicted to idle talk.,n. 唠叨的人
gabbert,, [人名] 加伯特
Gabbett's method,,[医] 加伯特氏法(一种抗酸染色法)
Gabbett's solution,,[医] 加伯特氏溶液(一种抗酸染色液)
Gabbett's stain,,[医] 加伯特氏染剂(染结核杆菌)
gabbier,n. One who gabbles; a prater.,"a. 饶舌的, 多嘴的 (gabby的变形)"
gabbies,,[pl. ] [美俚](=talkie)有声电影
gabbing,,"v. 空谈, 唠叨, 瞎扯( gab的现在分词 )"
gabbitas,, [人名] 加比塔斯
gabble,n rapid and indistinct speech\nv speak (about unimportant matters) rapidly and incessantly,"vi. 七嘴八嘴地说, 喋喋不休地说\nvt. 急促地说\nn. 急促讲出而叫人听不清的话, 废话"
gabble over,,v. 急促朗读
gabbled,imp. & p. p. of Gabble,"v. 急促地说, 不清地说( gabble的过去式和过去分词 )"
gabblement,,n. <古>=gabble
gabbler,,n. gabble的变形
gabbles,n rapid and indistinct speech\nv speak (about unimportant matters) rapidly and incessantly,"v. 急促地说, 不清地说( gabble的第三人称单数 )"
gabbling,p. pr. & vb. n. of Gabble,"v. 急促地说, 不清地说( gabble的现在分词 )"
gabblings,plural of gabbling\np. pr. & vb. n. of Gabble,"(gabbling 的复数) v. 急促地说, 不清地说( gabble的现在分词 )"
gabbrite,,淡辉长细晶岩
gabbro,n one of a family of granular intrusive rocks,n. [矿]辉长岩
gabbroic,,a. gabbro的变形
gabbroid,,a. [地]似辉长岩的
gabbromycin,,(=paromomycin)[商]巴龙霉素
gabbrophyre,,辉长煌斑岩
gabbros,plural of gabbro\nn one of a family of granular intrusive rocks,(gabbro 的复数) n.[矿]辉长岩
gabby,s full of trivial conversation,a. 饶舌的
gabe,,n. 加布（男子名）
gabel,"n. A rent, service, tribute, custom, tax, impost, or duty; an\n   excise.", [人名] 加贝尔
gabela,, [地名] [安哥拉] 加贝拉
gabeler,n. A collector of gabels or taxes., [人名] 加贝勒
gabelle,"n. A tax, especially on salt.","n. 税,(法国1789年大革命前的)盐税"
gabercord,,棉华达呢
gaberdine,n a loose coverall (coat or frock) reaching down to the ankles,"n. 工作服, 华达呢"
gaberdines,plural of gaberdine\nn a loose coverall (coat or frock) reaching down to the ankles,"(gaberdine 的复数) n. 工作服, 华达呢"
gaberlunzie,,n. <苏>乞丐
Gaberones,,加贝罗内斯(博茨瓦纳首都哈博罗内)
gaberum,,加伯伦格子布
gabes,plural of gabe,(gabe 的复数) n. 加布（男子名）
gabexate,,[化] 加贝酯
gabfest,n light informal conversation for social occasions,"n. 冗长的谈话, 长时间的会议"
gabhs,, [医][=group A β-haemolytic streptococci]A组β-溶血性链球菌
gabi,,n. 加比
gabianol,,"加比安油(一种精制矿物油, 用于治肺结核)"
gabion,"n. A hollow cylinder of wickerwork, like a basket without a\n   bottom. Gabions are made of various sizes, and filled with earth in\n   building fieldworks to shelter men from an enemy's fire.\nn. An openwork frame, as of poles, filled with stones and\n   sunk, to assist in forming a bar dyke, etc., as in harbor improvement.","篾筐,金属筐"
gabionade,"n. A traverse made with gabions between guns or on their\n   flanks, protecting them from enfilading fire.\nn. A structure of gabions sunk in lines, as a core for a\n   sand bar in harbor improvements.",n. 土笼的构筑物
gabioned,p. a. Furnished with gabions.,"n. (旧时筑堡垒盛土石用的)篾筐, 堡篮, 泥箩；(筑堤用的)石筐, 石笼；金属筐"
gabions,"plural of gabion\nn. A hollow cylinder of wickerwork, like a basket without a\n   bottom. Gabions are made of various sizes, and filled with earth in\n   building fieldworks to shelter men from an enemy's fire.\nn. An openwork frame, as of poles, filled with stones and\n   sunk, to assist in forming a bar dyke, etc., as in harbor improvement.","(gabion 的复数) 篾筐,金属筐"
gable,n. the vertical triangular wall between the sloping ends of gable roof\nn. United States film actor (1901-1960),"n. 山形墙, 人字板"
gable end,, 山墙端
gable roof,,"n. 人字形屋顶, 三角形屋顶"
gable wall,, 山墙，山墙墙身，前脸墙
gableboard,,博风板
gabled,a. (of a roof) constructed with a single slope on each side of the ridge supported at the end by a gable or vertical triangular portion of an end wall,"a. 有山形墙的, 人字板制作的"
Gabler,,n. 加布勒（人名）
gables,n. the vertical triangular wall between the sloping ends of gable roof\nn. United States film actor (1901-1960),n. 尖顶屋两端的山形墙( gable的复数形式 )
gablet,"n. A small gable, or gable-shaped canopy, formed over a\n   tabernacle, niche, etc.",n. [建]小山墙
gabling,-ing form of gable\nn. the vertical triangular wall between the sloping ends of gable roof\nn. United States film actor (1901-1960),"(gable 的现在分词) n. 山形墙, 人字板"
gablock,"n. A false spur or gaff, fitted on the heel of a gamecock.","铁杆, 铁钎, 铁梃"
Gabo,,n. (Gabo)人名；(法、俄、英)加博
gabon,n. a republic on the west coast of Africa,n. 加蓬（非洲中西部国家）
Gabon franc,,[网络] 加蓬法郎
Gabonese,n a native or inhabitant of Gabon\na of or relating to Gabon or its inhabitants,"n. 加蓬人\na. 加蓬的, 加蓬人的"
Gabonese Republic,,[网络] 加蓬共和国；加彭共和国；加蓬国
gaboon,,n. 痰盂
gaboon mahogany,, 加蓬红木
Gaboon ulcer,,[医] 加篷溃疡(类似梅毒的一种热带溃疡)
gaboon viper,, [医]加蓬喹蚊
Gabor,n. British physicist (born in Hungary) noted for his work on holography (1900-1979),[计] 盖博
Gabor code,,[计] 盖博码
Gaboriau,n. French writer considered by some to be a founder of the detective novel (1832-1873),n. (Gaboriau)人名；(法)加博里欧
Gaborone,n. capital and largest city of Botswana in the extreme southeast,哈博罗内[博茨瓦纳首都]
Gabriel,n. (Bible) the archangel who was the messenger of God,n. 加百利(<<经经>>中七大天使之一)
Gabriel benchmark Gabriel,,[计] 基准测试程序
Gabriel Daniel Fahrenheit,,[网络] 华氏；华伦海特；德国物理学家华兰海特
Gabriel isoquinoline synthesis,,[化] 加布里埃尔异喹啉合成法
Gabriel Lippmann,,[网络] 李普曼；加布里埃尔·李普曼；加百列·利普曼
Gabriel reaction,,[机] 加布雷尔反应
Gabriel synthesis,,[化] 加布里埃尔合成
Gabriel Tellez,,[网络] 加百列Tellez
Gabriel's synthesis,,[机] 加布雷尔合成
Gabriela,,"n. (Gabriela)人名；(捷、葡、罗)加布里埃拉；(西)加夫列拉, 加芙列拉(女名)"
Gabriele,,"n. 加布里尔, 加布里埃尔, 加布里埃, 加布里埃莱（人名）"
Gabrieli,,n. (Gabrieli)人名；(法、意)加布里埃利
Gabriella,,n. 加布里埃尔（人名）
gabrielle,,n. 加布里埃尔（女子名）
Gabriello Fallopio,,[网络] 加布里埃洛Fallopio
gabrielson,, [人名] 加布里埃尔森
Gabrite,,脲甲醛聚合物
Gabrovo,,加布罗沃[保加利亚中北部城市]
gabs,n. light informal conversation for social occasions\nv. talk profusely,"v. 空谈, 唠叨, 瞎扯( gab的第三人称单数 )"
gabu,, [地名] [刚果民主共和国] 加布
Gabun,n a republic on the west coast of Africa,加蓬湾(靠加蓬共和国西部) \nn. <方>痰盂
gaby,n. A simpleton; a dunce; a lout.,"n. 笨人, 傻瓜"
gac,,abbr. 加拿大地质协会（Geological Association of Canada）；全局程序集缓存（Global Assembly Cache）；中华人民共和国海关总署（The Ministry of Foreign Trade and Economic Cooperation （MOFTEC） and the General Administration of Customs）
gachupin,,n. 西班牙人
gackle,, [地名] [美国] 加克尔
gacy,, [电影]盖西
gad,n an anxiety disorder characterized by chronic free-floating anxiety and such symptoms as tension or sweating or trembling or lightheadedness or irritability etc that has lasted for more than six months\nn a sharp prod fixed to a rider's heel and used to urge a horse onward\nv wander aimlessly in search of pleasure,"vi. 闲逛, 游荡, 蔓延\nvt. 用棒赶\nn. 游荡, 錾, 尖头棒\ninterj. 哎哟, 天哪"
gad about,,"游荡, 闲荡"
gad around,,=gad about
gad fly,,[医] 虻
gad tongs,,[机] 平嘴钳
Gad's experiment,,[医] 加德氏实验(心)
Gad's experiment cannula,,[医] 加德氏实验插管
Gad's hypothesis,,[医] 加德氏假说(动脉与门静脉交通处成锐角)
Gadaba,,[网络] 加达巴
gadabout,n. a restless seeker after amusement or social companionship,n. 游荡者\na. 游荡的
gadabouts,plural of gadabout\nn. a restless seeker after amusement or social companionship,(gadabout 的复数) n. 游荡者\na. 游荡的
gadarene,,"a. 朝下的, 猛冲的"
gadbee,n. The gadfly.,"n. 牛虻,马虻,(以尖锐批评)讨人厌者,有意搅得他人不得安宁者"
gadberry,, [人名] 加德伯里
Gadberry's mixture,,"[医] 加德贝里氏合剂, 脾病合剂"
Gadd,,n. (Gadd)人名；(英、法、意、葡、芬、瑞典)加德
Gaddafi,n Libyan leader who seized power in a military coup d'etat in 1969; deposed the Libyan monarchy and imposed socialism and Islamic orthodoxy on the country (born in 1942),n. (Gaddafi)人名；(阿拉伯)卡扎菲
gadded,imp. & p. p. of Gad,v. 闲逛( gad的过去式和过去分词 ); 游荡; 找乐子; 用铁棒刺
gadder,"n. One who roves about idly, a rambling gossip.",凿岩机
gaddes,, [人名] 加兹
gaddi,n a cushion on a throne for a prince in India,"n. (君王坐的)垫子, 王座"
gadding,v wander aimlessly in search of pleasure,"叮搔症, 蔓生的"
gaddingly,"adv. In a roving, idle manner.",adv. gad的变形；gad的变形
gaddis,, [人名] 加迪斯
Gaddum-Schild test,,[医] 加-希二氏试验(测肾上腺素)
gaddy,, [人名] 加迪
gade,"n. A small British fish (Motella argenteola) of the Cod family.\nn. A pike, so called at Moray Firth; -- called also gead.",鳕类鱼
gadelaidic acid,,[化] 反二十碳烯酸; 反式二十碳烯酸\n[医] 反鳕油酸
gaden,, [人名] 盖登
gades,"plural of gade\nn. A small British fish (Motella argenteola) of the Cod family.\nn. A pike, so called at Moray Firth; -- called also gead.",(gade 的复数) 鳕类鱼
gadflies,pl.  of Gadfly,n. 牛虻( gadfly的名词复数 )
gadfly,n. any of various large flies that annoy livestock,"n. 形似苍蝇, 牛虻, 讨厌的人\n[医] 虻"
gadfly expellent,,[化] 牛蝇净
gadget,n a device or control that is very useful for a particular job,"n. 小配件, 小玩意, 诡计"
gadgeteer,n. a person who delights in designing or building or using gadgets,n. 摆弄小玩意的人
gadgeteering,,n. 精巧机件的发明(设计)
gadgetize,,"v. 以机械处理, 装置机械"
gadgetry,n. appliances collectively,"n. 小配件, 小玩意"
gadgets,n a device or control that is very useful for a particular job,n. 小配件；小工具（gadget的复数）
gadgety,,"a. 小配件的, 小玩意的, 爱搞小发明的"
gadgil,, [人名] 加吉尔
Gadhafi,,卡扎菲（人名）
Gadhelic,"a. Of or pertaining to that division of the Celtic\n   languages, which includes the Irish, Gaelic, and Manx.","a. 戈伊德尔族的,戈伊德尔语的\nn. 戈伊德尔语"
gadid,,n. [动]鳕科之鱼\na. [动]鳕科的
Gadidae,n large family of important mostly marine food fishes,[医] 鳕科
Gadiformes,"n. cods, haddocks, grenadiers; in some classifications considered equivalent to the order Anacanthini",鲟形目; 鲟形目
gadinine,,[医] 腐鱼硷
gadinometer,,磁强梯度计
gadiometer,,磁强梯度计
Gadite,,"n. 迦得的后裔,迦得族人"
gado,,abbr. General Aviation District Office 航空地区总办事处
gado-gado,,n. 鸡蛋花生酱色拉
gadoid,n. a soft-finned fish of the family Gadidae,a. 鳕科的\nn. 鳕
gadoid fish,,[网络] 鳕鱼
gadoleic acid,,"[化] 顺9-二十碳烯酸; 顺式9-二十碳烯酸; (Z)-9-二十碳烯酸\n[医] 鳕油酸, 廿碳烯-9-酸"
gadolinia,"n. A rare earth, regarded by some as an oxide of the\n   supposed element gadolinium, by others as only a mixture of the oxides\n   of yttrium, erbium, ytterbium, etc.",氧化钆
gadolinic,a. Pertaining to or containing gadolinium.,a. gadolinium的变形
gadolinite,n a mineral that is a source of rare earths; consists of silicates of iron and beryllium and cerium and yttrium and erbium,n. [矿]硅铍钇矿
gadolinium,n. a ductile silvery-white ductile ferromagnetic trivalent metallic element of the rare earth group,n. 钆\n[化] 钆
gadolinium gallium garnet,,[计] 钆镓石榴石型铁氧体
gadolinium iron garnet,,[计] 钆铁石榴石
gadolinium oxide,,[化] 氧化钆; 三氧化二钆
gadolinium sesquioxide,,[化] 氧化钆; 三氧化二钆
gadolinium zeolite,,[化] 钆沸石
gadose,,鳕肝油脂
gadot,, [地名] [巴勒斯坦·以色列] 加多特
gadroon,,n. 圆模雕刻装饰
gadrooning,,n. 圆模雕刻装饰；卵形或杏仁形刻纹\nvt. 饰串珠状缘饰于…；饰凹槽装饰于…
gadroons,plural of gadroon,(gadroon 的复数) n.圆模雕刻装饰
gads,n an anxiety disorder characterized by chronic free-floating anxiety and such symptoms as tension or sweating or trembling or lightheadedness or irritability etc that has lasted for more than six months\nn a sharp prod fixed to a rider's heel and used to urge a horse onward\nv wander aimlessly in search of pleasure,v. 闲逛( gad的第三人称单数 ); 游荡; 找乐子; 用铁棒刺
gadsby,," [人名] [英格兰人姓氏] 加德斯比住所名称，来源于古诺斯语，含义是“刺+田地，居留地”(sting+farm,settlement); [地名] [加拿大] 加兹比"
Gadsden,n. an industrial town in north central Alabama,n. 加兹登（美国亚拉巴马州城市）
Gadsden Purchase,,加兹登购地
gaduated bath,,[医] 温度递变浴
gaduhiston,,鳕组蛋白; 鳕组蛋白
Gadus,n type genus of the Gadidae: the typical codfishes,[医] 鳕属
Gadus macrocephalus,,鳕鱼
Gadus merlangus,,[网络] 黄芪
Gadus morhua,,大西洋鳕
Gadus morrhua,,[医] 鳕[鱼]
gadwall,"n. A large duck (Anas strepera), valued as a game bird, found\n   in the northern parts of Europe and America; -- called also gray duck.",n. 赤膀鸭
gadwalls,,n. 赤膀鸭( gadwall的名词复数 )
gadzookery,,n. <英>运用古语
Gadzooks,,int. 温和的诅咒语
gae,,[苏] give 的过去式
Gaea,n (Greek mythology) goddess of the earth and mother of Cronus and the Titans in ancient mythology,n. [希神]盖亚(大地女神)
gaebhardite,,铬云母
Gaebler's method,,[医] 盖伯勒氏法(检血钾)
gaede,, [人名] 盖德
Gaede diffusion pump,,[机] 盖德扩散泵
Gaede molecular pump,,[机] 盖德分子泵
Gaekwar,,n. 牧牛王(印度西部原巴罗达)
Gael,n. a Gaelic-speaking Celt in Ireland or Scotland or the Isle of Man,n. 盖尔人
Gaeldom,,n. 盖尔民族；盖尔人文化；盖尔人的土地（苏格兰北部和西部）
Gaelic,n. any of several related languages of the Celts in Ireland and Scotland,n. 盖尔语\na. 盖尔人的
Gaelic football,,爱尔兰式橄榄球（Gaelic Football）\n爱尔兰式足球（Gaelic Football）\n盖尔式足球（Gaelic Football）
Gaelic-speaking,,[网络] 盖尔语
Gaels,plural of Gael\nn. a Gaelic-speaking Celt in Ireland or Scotland or the Isle of Man,(Gael 的复数) n. 盖尔人
Gaeltacht,,n. (爱尔兰境内的)爱尔兰语地区
Gaenslen's sign,,[医] 根斯伦氏征(见于骶骼关节疾患)
Gaer,"comparative of Ga\nn the first known nerve agent, synthesized by German chemists in 1936; a highly toxic combustible liquid that is soluble in organic solvents and is used as a nerve gas in chemical warfare\nn a rare silvery (usually trivalent) metallic element; brittle at low temperatures but liquid above room temperature; occurs in trace amounts in bauxite and zinc ores\nn a state in southeastern United States; one of the Confederate states during the American Civil War",(Ga 的比较级) [医] 镓(31号元素)
gaertner,, [医]见Garther; [人名] 盖特纳
Gaertner method,,[医] 格特内氏法(测静脉压)
Gaertner tonometer,,[医] 格特内氏血压计(从手指测压)
Gaertner vein phenomenon,,[医] 格特内氏静脉现象(估计右心房血压的一种方法)
gaeta,, [地名] [意大利] 加埃塔
Gaetan Vestris,,[网络] 加丹·维斯特里斯
gaetano,,n. (Gaetano)人名；(西、意、葡)加埃塔诺
Gaetano Donizetti,,[网络] 加埃塔诺·多尼采蒂
gaf,, [医][=giant axon formation]巨轴突形成
gafeira,,[医] 麻风病(南美土名)
gaff,n. a sharp metal spike or spur that is fastened to the leg of a gamecock\nn. a spar rising aft from a mast to support the head of a quadrilateral fore-and-aft sail\nn. an iron hook with a handle; used for landing large fish,"n. 鱼叉, 斜桁\nvt. 用鱼叉捉, 用鱼钩拖上来, 欺骗"
gaff topsail,,n. 鲶鱼\n[网络] 斜桁帆
gaff-headed sail,,[网络] gaff头帆
gaff-topsail,n. A small triangular sail having its foot extended upon\n   the gaff and its luff upon the topmast.,n. 斜桁中帆
gaffe,n a socially awkward or tactless act,"n. 过失, 失态, 出丑"
gaffed,imp. & p. p. of Gaff,n. 鱼叉；斜桁；低级娱乐场所\nvt. 用鱼叉捉；用鱼钩拖上来；欺骗\nvi. 赌博\nn. (Gaff)人名；(英)加夫
gaffer,n. an electrician responsible for lighting on a movie or tv set,"n. 乡下老头, 老人, 领班, 照明工"
gaffer tape,, 电工胶布；厚胶布
gaffers,n. an elderly man\nn. an electrician responsible for lighting on a movie or tv set\nn. a person who exercises control over workers,"n. 老人, 乡下老头, 领班( gaffer的复数形式 )"
gaffes,n. a socially awkward or tactless act,"n. 失礼, 出丑( gaffe的复数形式 )"
gaffey,, [人名] 加菲
gaffin,, [人名] 加芬
gaffing,p. pr. & vb. n. of Gaff,"剥蚀, 剥落, 擦伤"
gaffkemia,,高夫败血症
Gaffky scale,,[医] 加夫基氏表(痰内结核菌计数表)
Gaffkya,,[医] 加夫基氏球菌属
Gaffkya anaerobia,,"[医] 厌氧加夫基氏球菌, 厌氧性细球菌"
Gaffkya tetragena,,[医] 四联球菌
Gaffney,,n. (Gaffney)人名；(英)加夫尼
gafford,, [人名] 加福德
gaffs,plural of gaff\nn. a sharp metal spike or spur that is fastened to the leg of a gamecock\nn. a spar rising aft from a mast to support the head of a quadrilateral fore-and-aft sail\nn. an iron hook with a handle; used for landing large fish,"(gaff 的复数) n. 鱼叉, 斜桁\nvt. 用鱼叉捉, 用鱼钩拖上来, 欺骗"
gaffsail,n a quadrilateral fore-and-aft sail suspended from a gaff,n. [船](上缘张在斜桁上的)斜桁帆
gafrinin,,格菲宁
Gafsa,,[网络] 加夫萨
gag,n. restraint put into a person's mouth to prevent speaking or shouting\nv. prevent from speaking out\nv. tie a gag around someone's mouth in order to silence them\nv. make jokes or quips,"n. 箝口物, 箝制言论, 讨论终结\nvt. 阻塞, 压制言论自由, 使窒息, 使呕吐, 插科打浑, 欺骗\nvi. 窒息, 作呕, 欺骗, 插科打浑"
gag bit,,n. 马衔
gag law,,[法] 限制言论自由的法令
gag line,, 简短的幽默文(如幻灯片的说明等)
gag order,,[法] 司法限制言论令
gag reflex,,"[医] 呕反射, 咽反射"
gag rein,,n. 马缰绳
gag rule,, <美>禁止对某问题进行公开议论或辩论的规定
gag-bit,,n. 驯马用的衔铁
gaga,s mentally or physically infirm with age\ns intensely enthusiastic about or preoccupied with,"a. 老朽的, 狂热的"
gagaku,,n. 雅乐(日本的一种宫廷音乐)
gagan,, [人名] 盖根
gagarin,n. Soviet cosmonaut who in 1961 was the first person to travel in space (1934-1968),加加林（地名）
gagarinite,,软煤
gagate,n. Agate.,"煤玉, 煤精"
gagatisation,,腐植质浸染作用
gagbit,,n. 马衔
gage,n street names for marijuana\nn a measuring instrument for measuring and indicating a quantity such as the thickness of wire or the amount of rain etc.\nv place a bet on,"n. 抵押品, 挑战\nvt. 以...为担保, 以...为赌注\nn. 抵押品, 标准度量, 计量器\nvt. 精确计量, 估计"
gage block,,[化] 块规; 量块
gage bob,,[化] 测深锤
gage distortion,,[化] 厚薄不匀
gage glass,,[化] 玻璃液面计; 玻璃管液面计; 计液玻管
gage hatch,,[化] 计量口; 计量孔
gage length,,[化] 计量长度; 标距长度
gage mark,,[机] 标点
gage nipple,,[化] 计量接头
gage point,,[机] 标点
gage pole,,[化] 检油尺; 量油杆
gage pressure,,[化] 计示压力; 表压
gage pressure transducer,,[电] 规压转换器
gage seal,,[化] 表封; 计量孔盖
gage variations,,[化] 尺寸变化
gage vessel,,[化] 计量槽
gage-pole,,[化] 量油杆
gageable,,"a. 可计量的,可测量的"
gaged,imp. & p. p. of Gage,vt. 以…为担保；以…为赌注\nn. 计量器；挑战；抵押品\nn. (Gage)人名；(塞)加格；(英)盖奇；(葡)加热
gaged burette,,[化] 标准滴定管
gageite,,水硅锰镁锌矿
gagemeter,,测厚计
gager,n. A measurer. See Gauger.,"n. 计量者[物], 检量官"
gages,n. street names for marijuana\nn. a measuring instrument for measuring and indicating a quantity such as the thickness of wire or the amount of rain etc.\nv. place a bet on, 计量器
gagged,v prevent from speaking out\nv be too tight; rub or press\nv tie a gag around someone's mouth in order to silence them\nv make jokes or quips\nv struggle for breath; have insufficient oxygen intake\nv cause to retch or choke\nv make an unsuccessful effort to vomit; strain to vomit,n. 塞口
gaggenau,,n. (Gaggenau)人名；(法)加热诺
